sub,liks
2,29.17481264
3,50.29858693
4,16.70515895
5,62.7232027
6,54.37077591
8,51.14858989
9,64.15574529
10,55.4606507
11,52.5027889
12,32.4560803
13,63.39090962
14,16.5428155
15,50.28761024
16,42.77038662
17,38.80307843
18,58.46228479
20,26.57085689
21,47.45268012
22,53.40226958
23,22.31220079
25,68.45737942
28,81.58757892
29,43.82000914
31,40.86114505
33,25.45661527
34,58.66640417
35,80.97107598
36,73.42482032
37,68.78752545
39,44.30089563
41,77.5801754
42,39.15578299
43,38.78063259
44,24.99784565
45,50.77061017
47,31.13292343
53,45.95109241
55,37.43411927
