sub,liks
1,102.81161516984045
3,118.57086468075836
4,105.76321648795793
6,84.31321827426768
8,81.29221591358656
9,87.05699598551188
10,65.38324352017239
12,89.9254307506468
13,67.94179776170895
14,91.9184681595422
15,126.31580803518305
16,62.39028491104659
17,137.49326960459433
18,63.0912556705953
19,114.40466886928748
21,102.72095338611174
23,76.98001212664393
25,82.27905309920087
27,88.07984048524051
29,52.19414085581796
30,78.00006176346055
31,98.04019567842326
32,144.2335321522958
33,90.10576917528148
34,80.28091479204929
35,93.94638841653523
36,95.73780285012845
37,80.130454957831
39,124.30233897317622
40,101.45493298056411
41,104.34659024653922
43,113.99763074209926
49,110.5145008552209
50,84.79437283090991
52,104.57197673671233
54,101.35453717523795
56,128.19911055452104
60,119.27674975496068
61,110.38554730222845
62,84.10726834174757
