sub,intercept,beta,w_raw_pos,w_transformed_pos,w_neg_pos,w_transformed_neg
1,-0.5744478763790962,5.2842547699010884,-3.0545919453446833,0.0011268346096658388,1.1638452765569056,0.8777566400842285
3,-2.5494238020815208,6.984824223860434,-2.476231950779595,0.006638864280565149,1.9393559984691602,0.9737709977446685
4,-1.9769683990777496,2.3167879782378265,-0.7773869172999714,0.21846526435765373,3.088246714778285,0.9989932937859165
6,-2.7884181219883812,3.712203813519612,-0.8511308491816278,0.19734833524461592,3.1716138159943283,0.9992420277430729
8,0.3769452548705584,7.51861891144638,-4.326077298284895,7.589408807184839e-6,-0.03859398377332214,0.4846070494871555
9,-0.4281168909855112,6.183899173762222,-3.134933174978932,0.0008594663172113437,0.9653338869810996,0.8328111980285131
10,-4.205326306267056,5.907013070301666,0.12278843871393558,0.548862685225995,3.8544617896018414,0.9999420077523411
12,-3.004089944411738,5.017340632100119,-1.1967205850925136,0.11570774039732551,2.9277688243738904,0.9982929810830803
13,-1.9823828718051155,2.203405142405814,-0.814626551523921,0.20764305368972824,3.0872806351024713,0.9989900160075897
14,-0.8944097079008269,7.979392631610749,-3.347333431356234,0.00040796502872325613,0.8140683828285701,0.792197111347233
15,-2.74071772078604,5.696124932954592,-3.181101331304648,0.0007335815090851461,1.834697640983247,0.9667247489868565
16,-3.7181539783922624,11.830558329888833,-3.2456767698804434,0.0005858589718687468,1.3932292233289243,0.9182247573050805
17,-0.9822914496280399,3.8014793100550124,-2.067986907611685,0.019320627119331746,1.9552500186052608,0.9747232162930298
18,-2.441608568121773,10.690878897220388,-3.2573605699480814,0.0005622674445778797,1.0747993493570438,0.8587677140837229
19,-0.6349714340629047,7.013269852396676,-2.412283118629654,0.007926482997902995,1.274324985601609,0.8987258674250675
21,-0.7134460416537587,5.985698778397441,-2.9268959332172115,0.0017118170895810136,1.1932729500295762,0.8836187536545322
23,-2.535831990197328,8.679257627313632,-3.067292731680266,0.0010800360275799448,1.4440610071515605,0.9256390923863853
25,-1.2282915150017641,8.120175477135962,-2.7522831371478698,0.0029590664444167913,1.1904752640957603,0.8830701767039376
27,-3.4084387510842133,5.137205646722079,-1.583701486961808,0.056630833139983794,2.8808751967871062,0.9980171368206288
29,0.21255146558463278,7.382757709546072,-4.381673935037792,5.888548510968317e-6,0.013881619847596975,0.5055377872224105
30,-2.155870928114139,8.057396173084932,-2.4899800858406858,0.0063875126538209814,1.6634365344028144,0.9518874574850897
31,-0.2522493912662696,5.992489087138944,-3.3759304303027737,0.00036783259396588885,0.8116850944809888,0.7915138253135365
32,-1.8331260725709322,4.649127349063719,-2.3327153077925358,0.00983154611528192,2.0383807158126257,0.9792440633364037
33,-0.36012780998669464,7.626222784608381,-4.259875162202553,1.0227055634581816e-5,0.24593649264610887,0.5971343029163488
34,-2.3483187595095516,3.6799201205006598,-0.8497705629133977,0.19772632938417095,3.0186460291341866,0.9987304649907168
35,0.682954423113887,6.183862595132528,-3.3638490187962495,0.0003843178990289853,0.46558848678778086,0.6792449572164847
36,-4.230004654569838,9.998977098922024,-3.4497198696407025,0.0002805842715180029,1.710218389815395,0.9563872518390094
37,-3.09119903197631,3.7850657548386115,-0.11318448048381076,0.45494214968863916,3.6099888908180766,0.9998468949402585
39,-1.9413169389354554,5.576698187936,-2.843862417591304,0.002228514446662333,1.7269786398489022,0.9579142501461656
40,-1.3983361798271832,5.868196876900635,-3.0268324601307954,0.0012356544552027393,1.4052472148639772,0.9200261106773014
41,0.008646016916234792,7.15227580027283,-2.8457968378775234,0.00221502243563948,0.8240602612709278,0.7950473408634761
43,-3.276049211596146,7.121854457528222,-1.6283948401586452,0.051720595509795575,2.568109298940931,0.9948872545517852
49,-0.2937531962266256,5.0220326365069985,-3.2778018314054496,0.0005230940720544197,0.9957755718505147,0.8403203990552062
50,-2.6968912049317724,3.376122949003348,-0.5692747342032947,0.2845848551360978,3.3099186057426753,0.9995333844765095
52,-2.1985688347680763,7.936439263026251,-2.7611862607236,0.002879591037977358,1.5612466218839383,0.9407672137027654
54,-1.9641900654796578,4.66134419583793,-1.8453726605586684,0.03249167365706351,2.303775556875404,0.9893823770425612
56,-1.2797138641652113,3.328721135312151,-1.0003853158138831,0.15856203674729086,2.612976902351779,0.9955121315972646
60,-2.7675872766697465,3.2721522266967042,-0.6843980465954406,0.24686192458953965,3.294948718165839,0.9995078017882575
61,-0.4624025844862109,5.601892237239344,-3.3084140418331445,0.00046912991266279125,0.970717153668855,0.8341554262935702
62,-3.099242829229733,10.634340640710034,-3.624263011188591,0.00014489329879696644,1.1451165418830898,0.8739195579991104
