sub,liks
1,105.65866477278469
3,55.17338453034496
4,128.4753020639087
6,85.19514686808567
8,84.2228614029007
9,82.45495392479455
10,52.86528830011611
12,63.85593082126371
13,113.83254374633319
14,77.76807266470999
15,74.91261821342637
16,34.1504919740497
17,115.6548612371494
18,42.09532027234839
19,63.016592392846526
21,80.02150167410336
23,53.806185250025145
25,58.24308495559964
27,64.8767821898576
29,74.33414167610555
30,40.12224053028675
31,93.08418782100082
32,100.71393521868208
33,78.47152492882155
34,83.51599059178967
35,98.22589585887557
36,37.891180926292606
37,84.04531898773796
39,89.34958369880418
40,83.05096013077133
41,80.50407088495723
43,59.95951947353995
49,106.4950854060453
50,94.6937868233647
52,62.5671721820987
54,82.10625686470033
56,127.83368501070686
60,87.68820618010497
61,106.73481009886143
62,30.039234477685554
