sub,liks
2,25.043539679586996
3,33.10551285806523
4,24.694086617089553
5,49.50259799796205
6,35.48621403175243
8,45.312028295314775
9,29.645054868189685
10,27.982168885387217
11,29.316807064374448
12,24.48052900219331
13,36.19961288264677
14,19.577978275742847
15,23.399764480700046
16,21.968039370221383
17,17.82253889696066
18,45.490710779444015
20,52.91173770529617
21,37.1268282966978
22,30.11361114876702
23,22.30943229461749
25,48.29936186501268
28,38.55494862589992
29,16.129211312294245
31,31.6932423159095
33,20.427966491234763
34,52.71041350793149
35,48.06356615126706
36,26.118995246187456
37,20.224265268104645
39,38.06503694643004
41,44.37134564921446
42,39.68871626512246
43,36.022100684130415
44,31.244684534625335
45,37.96457781189451
47,39.05676012380745
53,39.72029675484314
55,34.84140186592648
