sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
2,1.776821819,0.103791551,-2.515271975,0.005947029,-2.632797358,0.004234243
3,-1.952298874,0.055441908,-2.43458495,0.00745444,-2.876547214,0.00201026
4,-4.180385762,0.08917368,-2.054982954,0.019940326,-2.530111702,0.005701311
5,-2.215133919,0.066389015,-3.005030253,0.001327772,-3.690641517,0.000111845
6,-0.016893751,0.07670418,-1.990962555,0.023242502,-2.083665154,0.018595318
8,-6.525338095,0.074461941,-1.408141908,0.079544527,-2.493732676,0.006320385
9,-0.832241256,0.063145197,-2.538744856,0.005562546,-2.692080531,0.00355039
10,-1.394959517,0.078383932,-2.070082249,0.019222321,-2.332317012,0.00984201
11,-0.471519393,0.063608913,-2.650267997,0.004021397,-2.868067076,0.00206494
12,-2.475420717,0.078045873,-2.28578041,0.011133554,-2.773282498,0.002774696
13,0.519531393,0.072652718,-2.11459809,0.017232108,-2.197121491,0.014005885
14,-4.20559372,0.087430771,-1.828030195,0.03377251,-2.262374571,0.011837135
15,-1.14866987,0.093089086,-3.018956727,0.001268234,-3.668000202,0.000122227
16,-0.550657501,0.084734393,-2.190731639,0.014235609,-2.358761282,0.009168023
17,-2.184966662,0.09526498,-3.251271777,0.00057445,-4.077662937,2.27E-05
18,1.663926833,0.085417486,-2.562221708,0.005200245,-2.723487895,0.003229829
20,-0.236564371,0.06405059,-2.768766422,0.002813448,-3.317010148,0.000454932
21,1.630081751,0.079732165,-2.743861232,0.00303606,-2.734879012,0.00312016
22,1.208917859,0.080995055,-2.731431748,0.00315299,-2.810734044,0.002471431
23,-1.404825788,0.10571709,-1.935507055,0.026464052,-2.251217102,0.012185895
25,-0.142917366,0.03449183,-0.080794096,0.467802852,0.770662798,0.779546586
28,-0.07135939,0.049358585,-2.435823499,0.007428966,-2.565584196,0.005150111
29,1.70938063,0.075190377,-0.060022287,0.476068942,0.997825432,0.840817992
31,-1.399922805,0.069941748,-2.858748003,0.002126583,-2.998138863,0.001358169
33,-2.314183568,0.104635395,-3.176474211,0.000745385,-4.025067691,2.85E-05
34,-2.03049083,0.063800134,-2.769809149,0.002804457,-3.308618938,0.000468787
35,1.51755672,0.066600582,-2.380671449,0.008640559,-2.251684154,0.012171119
36,1.994646519,0.056156648,-1.918830194,0.027502914,-1.456252658,0.072661394
37,0.219119642,0.067253095,-2.459666523,0.006953308,-2.641803853,0.00412329
39,-2.519252319,0.086937135,-3.004305392,0.00133094,-3.800140933,7.23E-05
41,0.630848528,0.057482855,-3.285888208,0.000508307,-3.630906135,0.000141214
42,-3.564751435,0.050455715,-2.527358531,0.005746206,-3.228869059,0.000621404
43,-1.694411452,0.085241282,-2.075032162,0.018991777,-2.485039449,0.006476854
44,-3.500867671,0.091839417,-3.021610381,0.00125717,-3.968908366,3.61E-05
45,-3.97349948,0.038102442,-2.334686942,0.00977989,-2.975111526,0.00146441
47,-4.584989803,0.062841972,-1.948134132,0.025699458,-2.503272929,0.006152531
53,-1.64666039,0.077956274,-2.145425203,0.015959433,-2.672613732,0.003763143
55,-1.675178118,0.085308176,-3.551118149,0.000191799,-4.389771616,5.67E-06
