sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed,inital_estimate
1,0.5677948688109995,0.07023545609296325,-2.345179883618274,0.00950895086380854,-2.4660153881566007,0.0068312732294469325,1.699508135719123
3,-5.832239279461026,0.03978652729186719,-1.6214202097641182,0.05246377469079816,-2.9773584054011377,0.0014537195404385472,1.7866306140910266
4,1.2216765912662135,0.0933116747683776,-2.403911958521914,0.008110339644276487,-2.2398621339998797,0.012549937294000835,1.979650915724212
6,-1.6119138739276124,0.0835197710250761,-1.8958155458021542,0.028992219744724046,-2.1334698117800674,0.01644310275998262,2.1635478699675255
8,1.7521341742334786,0.09486604290157521,-2.239813863527588,0.012551504735028363,-2.1471717954495424,0.015889803616058296,1.5088979398085207
9,0.4377527173923656,0.06345959572238534,-2.7451698976286734,0.0030239789049588683,-2.93515948716496,0.001666881443467938,1.8862685349343196
10,-3.2294281823739293,0.10813848631984768,-1.6026856069193212,0.05450204139150383,-1.9816319014793982,0.023760226995551803,2.4207766059254747
12,-3.1988926951433334,0.06465680217092722,-1.4559675672378423,0.07270079277677682,-2.066104608150905,0.019409301613224628,1.9123095630325329
13,1.4051397099100464,0.1199371004114803,-2.480210636425228,0.006565239528679434,-2.2827521479276394,0.011222486061241044,1.9964454594802343
14,-0.11756346600268947,0.08918410240054953,-2.428589696320771,0.007578837617630618,-2.595919079231195,0.004716914005207462,1.981770533437433
15,-3.2190953434738527,0.051035751138104206,-2.9149146819753544,0.0017789289588469592,-3.655929318282876,0.00012812597960343286,2.5524643608297928
16,-2.1953750575935165,0.13119153992292173,-2.2273518666924863,0.012961883319170364,-2.370071826275308,0.008892314955095793,2.7714013868895604
17,-1.9535185815797016,0.02824079730605053,-1.5411998538406961,0.06163407653766789,-2.4858467363996595,0.006462180678482199,0.8233946372556913
18,-1.6114041025258563,0.09720260014210123,-1.9009254911460134,0.028655886329824187,-2.120569661635404,0.016979016734161634,2.2096411712145403
19,-1.1312608077960677,0.07261087155441583,-1.8521924526224318,0.031999096090869095,-2.4669175546112827,0.006814086590877844,1.2368114722625692
21,-1.2273884257128156,0.05125622529237223,-2.331679886963939,0.009858768839378085,-2.803484623942014,0.0025276821370494584,1.841326783369045
23,-2.6264879920992654,0.0890407794826949,-1.8789859931484534,0.030123202896064072,-2.197146003426371,0.014005010254297734,2.441489054129569
25,-2.189797615251703,0.09808321266673385,-1.9699972270455144,0.024419344181455083,-2.468811139853762,0.006778137195200429,1.976161244404351
27,-3.581698896767879,0.07592102249638207,-1.7078275479043739,0.04383417295848552,-2.186846719471584,0.014376857786973118,2.4605154606875366
29,3.1782951061976634,0.10653695060475946,-3.2512374205491494,0.0005745192992161474,-2.974498442007635,0.0014673397305241531,1.8237310813638308
30,-5.67212422875158,0.06560614340077911,-1.3182199458531958,0.09371501519389869,-2.4835687412502385,0.006503661339807454,1.8784134495644011
31,0.6781614035321274,0.0642300771854048,-2.6628301098091858,0.0038743262250900967,-2.7580499345507445,0.0029073657381624707,1.9071123297263481
32,-2.355196660014507,0.03926762184319972,-1.942872031146119,0.026015811008381018,-2.6339516918763346,0.0042198747403979775,1.7007028413112288
33,1.3610227657971443,0.08521365836836636,-2.9322174968337604,0.0016827547956626554,-2.8243329429501665,0.0023689569964473467,2.138940819035582
34,-1.1065847271190592,0.07482409524262569,-1.8009645137175,0.03585423667745491,-2.081532874452605,0.018692579141561527,1.8238020990818709
35,1.4699689784106922,0.06730187518670692,-2.9085180444539116,0.0018157310942240046,-3.136771618771934,0.0008540956491264184,1.4721399216065274
36,-2.2654383149762105,0.12065658394913494,-2.986986896730899,0.001408708989586005,-3.103916579405415,0.0009548858490968648,3.303490207595251
37,-1.7772740942912795,0.07795461925821132,-1.8861097522477384,0.02964008320623085,-2.12466668952781,0.016807217415368614,2.2293103284574056
39,-4.495293401854829,0.02333002135345247,-2.116523759384091,0.017150143332159418,-3.4507954638360574,0.00027946849394505646,1.5547279638093758
40,-1.4553045856244335,0.05006055485208417,-2.4646090983826774,0.0068581399886746275,-2.830900920965295,0.00232085486026401,2.2062942389544538
41,0.2695749120739522,0.08065042931165779,-2.186449545475794,0.014391366087347368,-2.571374219625048,0.0050647901950879315,1.2861152113601637
43,-5.034795099965927,0.03994218468368133,-1.1911488546911075,0.1167975768370596,-2.4861643817058936,0.006456415217920453,1.3141206648168722
49,0.1105599029482248,0.05589868907088411,-2.5492936934951214,0.005397067760115615,-2.727476077896281,0.0031910442517086857,1.9242894624617264
50,-0.957821443887042,0.064810417586031,-1.7572468411682738,0.03943787217742717,-1.9435545849549292,0.02597459346792036,1.8996776448164705
52,-2.6776377120222343,0.07853365679375283,-1.9464371790472825,0.025801123613584276,-2.433657636458794,0.007473562687467961,2.20307182034059
54,-2.867498155618735,0.05688782597193692,-1.88501348262986,0.029714008772602385,-2.5222075520584335,0.005831043800227587,1.9754149829831196
56,-2.164940073341118,0.0193981117866578,-1.4000149347610729,0.08075442311322306,-2.6243211778098683,0.004341093519318273,0.3283172818814976
60,-0.4118557348088327,0.07738099575095404,-2.16717489165285,0.015110760566351522,-2.2389092344583745,0.012580911258059602,2.1153924476341253
61,0.29954559674449177,0.0663904075742018,-2.340468842791912,0.00962977266760745,-2.4713290970013473,0.006730593802933227,1.8211835479632499
62,-1.2010356534768718,0.11460344791526905,-2.702158760821704,0.003444542949035234,-2.7315643714710647,0.0031517212916565285,2.836240385301231
