sub,liks
1,74.48780333989694
3,55.63684257909152
4,43.87861029120913
6,34.78156698641726
8,49.46884390501271
9,46.95824530731671
10,24.43058368827038
12,38.20503728472277
13,30.035001655803672
14,38.25972180201966
15,29.40871295294923
16,27.816060519441194
17,60.93251829125523
18,20.373446361475562
19,42.0104977882369
21,29.351682124826162
23,30.034175969743078
25,38.36915361675023
27,37.928594478886396
29,26.401157598219065
30,25.869104358203703
31,49.69103517875027
32,84.02556300515607
33,36.86813577488689
34,44.3255316034253
35,44.11512591652922
36,23.509505124747285
37,32.48246285752522
39,51.55730274504133
40,45.73295167600507
41,57.405230926110825
43,53.21516111823256
49,65.44677473158548
50,58.734617190442
52,48.146486696762494
54,38.484524159632564
56,82.40510775853697
60,51.13229667333463
61,68.76966127984205
62,29.13492529643661
