sub,intercept,beta,learning_rate_raw
1,0.667103802761347,0.05761737912899363,-1.5931508218416937
3,-0.08366914363359412,0.06143485970454582,-2.3259121383439196
4,0.18599287008909615,0.07892731795037639,-3.2498062715716087
6,0.0757770137728333,0.10723417993647225,-2.075532891639511
8,1.0779347491506253,0.0732597238309318,-1.7477958317573608
9,0.26492349965972034,0.06950026530406674,-2.395560478296762
10,-0.9854771101470775,0.10885729447419551,-3.7387970077687323
12,-0.5133895545582524,0.08323295951867254,-3.6149256559918577
13,2.4302507322810025,0.09665987696428384,0.6452358235444586
14,-0.7464626648720383,0.09101889028710945,-4.06196226226024
15,-2.119471681175881,0.04055658154680407,-2.701622664578149
16,-0.45569395957327574,0.12386151024979321,-1.9392269127471706
17,1.15355806772684,0.05932862692793289,-2.288562992835796
18,-1.084445967005955,0.11328389118171953,-3.4202256079372004
19,1.4440314468699578,0.0813359848240135,-2.011504013010614
21,1.3130319318094108,0.0995398119821215,-2.5016112574590763
23,-0.42681624552849695,0.12102003523479944,-1.8955818965432154
25,-0.5933677727791646,0.08908581559562782,-3.9257371139199133
27,-0.1154923495518246,0.08428358288295251,-2.0776086055380363
29,2.802492089338149,0.0965680011363757,0.8497950561603247
30,0.8179680414757485,0.09343815832218537,-2.0091610359092065
31,0.790578153730603,0.06953784344560987,-2.749859875613024
32,1.1392616779555507,0.04308244900925199,-1.729486215904988
33,2.6221139146083483,0.07894510018236435,0.7253753779248997
34,0.6985148968356167,0.08357090151859016,-2.0487748986756125
35,0.8140634919591048,0.08368375706311584,-2.5552587439593117
36,-0.4888981311108499,0.08734580313608141,0.5813238113613143
37,-0.14829662502463856,0.10960399582226661,-2.0266990425079467
39,-0.8369745073612408,0.06028100823143024,-2.233021440910681
40,0.18473107949347245,0.06963442973382122,-2.522801752908408
41,0.9381868274114384,0.0687742426900875,-4.070405204494637
43,0.15965104987038328,0.07373483832618653,-4.171109910767786
49,0.22763719347491695,0.0499354792517657,-2.1193809412947444
50,0.4798670585897889,0.07051677455707292,-1.6448801474199668
52,-0.45131270880911417,0.07893183470310526,-4.09140539544708
54,0.5983850472426383,0.08332670517810835,-2.257122945369332
56,1.8168685875180246,0.04337644940919733,-1.7624736857230943
60,0.5175100824145535,0.08047678640836425,-1.951171970241996
61,-0.2364353304444133,0.05085015692393601,-3.665304867422634
62,-0.9177130854607283,0.07075485107037137,0.1315544898452615
