sub,liks
1,73.80364022564133
3,28.64452724213266
4,46.03770168370511
6,26.633231162539264
8,50.14305917049154
9,46.55767809893044
10,22.88768601540853
12,37.357298240695386
13,31.1105042902499
14,28.706367103242318
15,21.83510388753207
16,18.718638488321268
17,58.4551359256321
18,19.92058266851933
19,39.56793429175982
21,19.624539740040795
23,18.378008270220818
25,27.190798022571705
27,20.77644845041985
29,31.742287994181027
30,19.877473820292337
31,51.95529430486167
32,66.0170065892096
33,38.83988572191117
34,37.237763093850575
35,44.9836282789729
36,14.831680188358705
37,31.00179964081978
39,23.90283793659308
40,35.26734169928687
41,46.84169300185035
43,28.78856406687148
49,62.488523219097615
50,52.83636582724535
52,25.394292472350386
54,32.67862949204792
56,59.960343107392475
60,41.161814281170855
61,69.2162215303031
62,14.637854506639814
