sub,intercept,beta,learning_rate_raw
2,2.138521422380231,0.09648353090123961,-2.606956643813442
3,0.7485586809680349,0.06441439052955371,-3.7268554197210424
4,0.15703161121899334,0.09269375088882649,-2.0786104886454138
5,0.787705661389152,0.048406890307321225,0.5372000835770093
6,0.6970181559602454,0.08386610082282439,-1.8932546209538932
8,0.6395479940989921,0.06534075885091573,-3.614468844326154
9,-0.09741927641837878,0.07126657244003008,-1.9984034928733532
10,0.44322764127422276,0.08665884757903389,-2.03351285200583
11,1.0526859669051472,0.07038905614164413,-3.0736941752176175
12,0.6986948935439915,0.08141349489140574,-2.2018014769238534
13,1.0152918587348614,0.07632304450418124,-2.0472267480434887
14,-0.5325591152446768,0.10243771133958843,-1.9571871062797164
15,0.5078036865235854,0.08363646957068009,-2.98696903431278
16,0.8780970586618344,0.0909840303291897,-2.4082089240226936
17,1.608136317972125,0.07411494549324935,0.5288004492177037
18,2.344941805891527,0.08278286235913256,-2.403871554035854
20,1.9124060940506058,0.06975545500899429,-3.9126502963690917
21,1.730657449879722,0.07957328002912432,-2.8819648877306356
22,1.8236830141820826,0.07991660464281357,-3.1649154594127635
23,0.9714417218709769,0.10259950474683324,-1.9559461585261455
25,0.3089136935380202,0.04462770973742395,1.4119838628213857
28,0.705315761380983,0.05561815210098418,-2.7085046922090075
29,1.823246093049552,0.07979398752744109,1.3656580548545962
31,-0.452969681149095,0.08131811706817695,-3.474037900963028
33,-0.5104637616206343,0.09243042873627859,-3.0863880524443807
34,0.002832916522695628,0.06816226780960079,-2.1048426338739334
35,0.8352935331733754,0.06366246571184024,-2.7817085834090993
36,2.425346180970636,0.05472204868895108,1.0596065199593758
37,1.6200551755378398,0.07444206000888666,-2.8713567949721335
39,-0.3082334058653748,0.07160308472261286,-2.9968984505651313
41,1.1506049328310644,0.061737019413158636,-3.80577057260689
42,0.3877286624502925,0.05859305616244811,-4.028625342316113
43,1.028934109752754,0.08209313563655597,-1.721225794895462
44,0.7345963195916607,0.06585558035751744,0.37717288708433006
45,0.2002969224387308,0.05635958125935587,-3.605902253404433
47,0.25057033205966034,0.08291201647265103,-2.455305223703642
53,1.2604097026495558,0.07188859831722544,-1.5570559686647216
55,1.6243341629394907,0.07507445349075877,0.8151218748420578
