sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
1,1.2017444910287085,0.05926473971588697,-0.8070064762129459,0.20983137599887286,-0.7244109315464359,0.23440674532942735
3,-4.5851651627211725,0.012422346344214876,-3.164685716764486,0.0007762527372679462,-3.925525214019267,4.327035200252238e-5
4,2.362687190679068,0.07425253914069369,0.9669354953933476,0.8332118595560392,0.7811846389766548,0.7826530465143966
6,-3.249988715530473,0.01326453852308137,-0.7256632412471857,0.23402262074700503,-2.519742680876511,0.00587203264208408
8,2.8347791033305607,0.0730586690684792,0.8694248414576781,0.807692599709654,0.5635562637188948,0.7134719204653943
9,1.827877522071206,0.054916670691310815,-1.129035136124145,0.12944150594604414,-0.8809979896469675,0.18915945404866308
10,-4.547879375348527,0.017567499307927305,-0.897235206675765,0.1847967111798775,-2.648901809752872,0.00403768950386757
12,-4.271346969282971,0.01688405615445576,-0.9148114953503776,0.1801452994836476,-3.0332307648204315,0.0012097525124036834
13,2.7186585504454426,0.08901750282012676,-0.1686339875565512,0.43304227259782974,0.6303585218769409,0.7357699789663024
14,2.1203804248304574,0.057357359190743744,1.2481991151491345,0.8940209260342504,0.6459013309867825,0.7408283712048767
15,0.9952728070726613,0.05563466477603899,-1.44217346300628,0.07462672241196694,-0.7066861748410674,0.23988076146950787
16,-5.592682082565386,0.01616361918676875,-1.1256901879988876,0.13014833918837632,-3.4829281948661945,0.00024798068572917664
17,-2.4818777014699966,0.015721724349633828,-0.6524411104017276,0.25705832556519914,-2.637296998223198,0.00417848140250604
18,-4.076533684745202,0.028153438093480462,-1.3212671873424382,0.09320614536569094,-2.3000730167568877,0.010722041846917496
19,-3.057627260595974,0.02733790853981003,-0.10649829155137161,0.45759350542295757,-2.3834468636736625,0.00857568017550231
21,-2.997028735388686,0.01872234943209662,-0.7736626073136093,0.21956516901849837,-2.8926926581799774,0.0019097742498390136
23,-4.3096181757342436,0.015212707113204223,-0.7006903319709292,0.2417481454410617,-2.990304823430999,0.0013934958660545838
25,-3.1333008769157975,0.01769971630440857,-0.6654597868569014,0.25287822794128956,-2.7572551377701937,0.0029144425559778364
27,-4.699405743116169,0.01691623604407108,-0.9608257673531521,0.16831989015240795,-3.1494140388030716,0.0008179911517410821
29,4.899103036410514,0.10863873248917241,0.4938875856538969,0.6893072137663963,1.9378453465408587,0.9736789532569273
30,-4.766377063885124,0.034010435682253114,-0.6238442610759478,0.2663649343816855,-2.719906997268714,0.0032650139762812613
31,2.610728194735566,0.06169088250345909,1.0621665780756577,0.8559199651919194,0.5603502270907202,0.7123797129105962
32,-2.47405527143934,0.01176860957708024,-0.628848219357423,0.26472421419773395,-2.6773916518873335,0.003709892304763429
33,2.8707204467463114,0.08122319701440178,-0.19695538736450058,0.4219312248048933,0.5121231628753051,0.6957175927431072
34,-1.4098129316875672,0.053296857518951885,-1.3776186480163426,0.08416053016695374,-1.7733350396652448,0.03808660307372569
35,3.8617047987096527,0.06682890955348039,0.3801413084754225,0.6480797382047188,0.6411478541660732,0.739286687279417
36,0.8958088648446805,0.07588359828128513,-1.200486252578384,0.11497527429834187,-0.5857506379120816,0.27902154983942606
37,-3.3782202921356963,0.017368671668302613,-0.9244161992986698,0.17763483187855972,-2.245684660319911,0.012362106706519771
39,-4.530260302570337,0.009471808609497747,-3.464817223678001,0.0002652959787265985,-4.161129420357495,1.5833877406723484e-5
40,-3.1892554905226307,0.01348183629607084,-1.288749060377532,0.09874267023831695,-3.3027945935355207,0.00047863239768930477
41,-1.9090587866212008,0.012502572185195692,-0.608284696807106,0.2714993344353661,-2.6464203355390836,0.004067433179767654
43,-4.6163109251065535,0.010295657255979206,-3.3052886269855533,0.00047439319547665226,-4.042045723860078,2.6493448446573975e-5
49,1.3712836839005733,0.05223703419744147,-1.0643672423404404,0.14358118365328415,-0.9234345819364451,0.1778903884955783
50,-5.152371481243302,0.009077558057791101,-2.8328111944980168,0.002307031500607293,-4.209171713288041,1.2815427490431297e-5
52,-3.6793795618455762,0.015353092043695175,-0.7933929292343919,0.21377446452271254,-3.0354564520459633,0.001200859519912223
54,-3.6495289494354717,0.01706629428335847,-1.7920137210151075,0.03656538406553178,-3.433360552384825,0.00029807438455686786
56,1.9204647155370522,0.04700648841830751,1.5243692434392595,0.9362917506417525,0.5053886828688747,0.6933570669901696
60,-0.5885808602755749,0.052447193722780984,-1.567800598134785,0.058463837640957306,-1.6791628667368788,0.046560153371325685
61,1.9452527855017996,0.05455616690711866,1.4790405865957594,0.9304352661345185,0.6637258870760696,0.7465671161503546
62,1.5166820034365303,0.07781708070305363,-0.9564032328309758,0.16943427603350963,-0.12935970857574947,0.4485365138226042
