sub,liks
1,49.515718017821655
2,61.39670618512581
3,86.75078879722668
4,98.99515469575869
5,91.43512853589338
6,68.04291492022497
9,67.34877892079749
11,59.9429271911721
12,67.40647203805163
13,103.83727458908078
14,128.92848738428094
17,84.2792847783956
18,108.47531793707077
19,62.506663821920775
20,111.8295964501513
21,90.69780730335557
22,103.35766384972864
24,79.65843730037788
28,58.14514220255313
29,117.51729479418836
31,51.93605892967123
32,118.59538404066602
34,51.265950614911944
37,61.62494657828902
42,64.97478142743724
43,89.3766243086831
44,64.43464741738748
45,65.0611239370738
46,81.97079445554687
47,99.38059912305172
48,50.627336006163404
49,118.75234368065242
50,63.44870520395546
51,71.68106995118792
52,59.973693668930615
57,42.75943472739727
58,90.56701193768158
59,110.23368530612768
