age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
30,m,284,1,1,2.7,1,0.071428571,0.117647059,0,0.096774194,1,0.857142857,1,0.022727273,0.9375,0,0.785714286,0.882352941,0.022727273,0.840725806,1,0.333333333,0.423076923,0.225,0.382978723,1,49.5157180178217,0.365379418914996,0.102668848790247,-1.74004734254641,0.0409253526604539,0.530791788856305,0.463709677419355,0.604545454545455,0.516129032258065,0.67741935483871,0.8,0.545454545454545,0.25,0.409090909090909,1,1,1,0.136363636363636,0,0,0,0,0,1,1,1,0.833333333333333,1,1,0,0.25,0,10.3988771580507,5.32192678058567,8.37931678690439,10.7328860396793,8.32140122829311,9.7736213633268
40,f,255,1,1,2.4,1,0,1,0.111111111,0.45,0.785714286,0.166666667,1,0.037735849,0.583333333,-0.214285714,0.166666667,0,-0.073375262,0.133333333,0.942307692,0.086956522,1,0.108433735,0.522727273,2,61.3967061851258,3.02733380902755,0.0724740744896871,1.15725335412593,0.876415567454704,0.417293233082707,0.43530701754386,0.561965811965812,0.763157894736842,0.578947368421053,0.777777777777778,0.0714285714285714,0.291666666666667,0.346153846153846,1,1,1,0.571428571428571,0.25,0,0,0,0,NaN,0.8,0.75,1,0.25,0.631578947368421,0,0.153846153846154,0,0.621919965411169,0.292788481512084,0.432356895570556,5.77992185476913,4.92291584810957,5.28632978764242
30,m,333,2,4,2.8,1,0.235294118,0.117647059,0.05,0.176470588,1,0.733333333,0.647058824,0,0.6875,0,0.498039216,0.529411765,-0.05,0.511029412,1,0.46875,0.382352941,0.19047619,0.424242424,1,86.7507887972267,0.652912921386217,0.0719778300310897,-1.64002948828126,0.050499517914212,0.379710144927536,0.506433823529412,0.578098471986418,0.492753623188406,0.794117647058823,0.736842105263158,0.266666666666667,0.21875,0.419354838709677,1,1,1,0.173913043478261,0.333333333333333,0,0,0,0,1,1,1,1,0.6,0.695652173913043,0,0,0,10.6459164971842,4.90603765354667,7.93610245083174,10.9316829702398,8.29283005418247,9.68587258068485
29,f,350,5,8,2.8,0.987012987,0.95,0.052631579,0,0.512820513,0.933333333,0.944444444,0.8,0.016666667,0.878787879,-0.053679654,-0.005555556,0.747368421,0.016666667,0.365967366,0.97826087,0.947368421,0.382352941,0.178217822,0.680555556,2,98.9951546957587,0.235750104001346,0.0737940493517363,-1.97482504933763,0.0241440026668194,0.503463203463204,0.589712918660287,0.462146892655367,0.74025974025974,0.815789473684211,0.466666666666667,0.266666666666667,0.363636363636364,0.457627118644068,0.975,1,1,0.642857142857143,0.25,0.142857142857143,0,0,0,NaN,0.8,1,1,1,0.80952380952381,0,0,0,10.1224694992649,4.68574347746773,7.665706276026,6.17044570044487,4.71689760837048,5.51361225298029
42,m,301,0,4,2.8,1,0.428571429,0.882352941,0.25,0.677419355,0.933333333,0.785714286,0.933333333,0.017241379,0.862068966,-0.066666667,0.357142857,0.050980392,-0.232758621,0.184649611,0.986486486,0.607142857,0.90625,0.244680851,0.766666667,1,91.4351285358934,1.24730370043768,0.0631671022204869,0.525973985658213,0.700546859051781,0.487684729064039,0.60678531701891,0.692887931034483,0.689655172413793,0.903225806451613,0.9375,0.285714285714286,0.310344827586207,0.448275862068966,1,1,1,0.5625,0.75,0.833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,NaN,0.8,1,1,0.833333333333333,0.842105263157895,0,0,0,3.33122560113614,1.49529480235047,2.43091338250086,10.6826366999611,8.07452518450717,9.40365893757506
36,male,321,2,12,2.7,0.985507246,0.071428571,0,0,0.03125,1,0.4,0.785714286,0.016129032,0.586206897,0.014492754,0.328571429,0.785714286,0.016129032,0.554956897,0.988095238,0.24137931,0.34375,0.158415842,0.295081967,2,68.042914920225,1.28912273310097,0.0848232322758939,-1.94912055571926,0.0256405147035634,0.438725490196078,0.517857142857143,0.422456575682382,0.544117647058823,0.75,0.538461538461538,0.333333333333333,0.285714285714286,0.306451612903226,0.972972972972973,1,1,0.0454545454545455,0,0,0,0,0,1,1,1,0.428571428571429,0.666666666666667,0.631578947368421,0.142857142857143,0,0,9.76958456531221,4.82992819745009,7.38956831534228,6.05790811939557,4.94558735193524,5.52197174961923
42,m,327,4,2,2.8,0.985074627,0.375,0.071428571,0,0.233333333,0.933333333,0.882352941,0.909090909,0.036363636,0.892857143,-0.051741294,0.507352941,0.837662338,0.036363636,0.65952381,0.975609756,0.636363636,0.44,0.135416667,0.551724138,2,67.3487789207975,0.574944383468026,0.092904395203659,-1.93084671698964,0.0267510055504825,0.409452736318408,0.516666666666667,0.643434343434343,0.552238805970149,0.7,0.777777777777778,0.266666666666667,0.333333333333333,0.509090909090909,1,0.954545454545455,1,0.19047619047619,0,0.5,0,0,0,NaN,1,1,0.6,0.857142857142857,1,0.1,0,0.1,10.3061673047743,4.86449016455201,7.8141843153267,6.40689553607833,4.31831735490795,5.45044384563582
28,m,344,2,2,2.8,0.963855422,0.043478261,0.047619048,0,0.045454545,1,0.692307692,0.846153846,0,0.769230769,0.036144578,0.648829431,0.798534799,0,0.723776224,0.969072165,0.277777778,0.352941176,0.031578947,0.314285714,1,59.9429271911721,1.74466567486996,0.0870105099849707,-1.96630439833356,0.0246317295330408,0.473321858864028,0.497209302325581,0.458333333333333,0.518072289156627,0.674418604651163,0.5,0.428571428571429,0.32,0.416666666666667,1,0.966666666666667,0.818181818181818,0.0689655172413793,0,0,0,0,0,NaN,1,1,0.857142857142857,1,0.666666666666667,0,0,0,10.418069819269,4.67156634230495,8.24771657475039,11.3320062149026,8.76414517536419,10.3621702858065
38,m,322,1,1,2.8,1,0.611111111,0.157894737,0,0.378378378,1,1,1,0.054545455,1,0,0.388888889,0.842105263,0.054545455,0.621621622,1,0.75862069,0.567567568,0.139784946,0.651515152,2,67.4064720380516,0.251497633285706,0.0930281023750365,-2.05276234110419,0.0200478162751911,0.574353448275862,0.554520037278658,0.647402597402597,0.586206896551724,0.72972972972973,0.785714285714286,0.5625,0.379310344827586,0.509090909090909,1,1,1,0.333333333333333,0.428571428571429,0.25,0,0,0,NaN,1,1,1,1,1,0.125,0,0.125,9.5426058927925,5.53616278813973,7.62482980952269,6.55123349272925,5.49416489659341,6.04524331164053
35,Male,343,2,5,2.8,0.985915493,1,0.055555556,0.055555556,0.5,1,0.684210526,0.470588235,0.027777778,0.583333333,0.014084507,-0.315789474,0.41503268,-0.027777778,0.083333333,0.989010989,0.828571429,0.257142857,0.160714286,0.542857143,2,103.837274589081,0.551409786022364,0.0664410815270367,-2.0580428745544,0.0197930089487371,0.457142857142857,0.507352941176471,0.690140845070423,0.614285714285714,0.764705882352941,1,0.3,0.25,0.380281690140845,0.970588235294118,1,1,0.434782608695652,0.428571428571429,1,0,0,0,1,1,1,0.625,0.454545454545455,0.647058823529412,0,0,0.0909090909090909,9.83184937366465,4.79600503421315,7.26376939179296,6.11286392095986,4.70581049856578,5.39532273344415
