age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed
30,m,284,1,1,2.7,1.0,0.071428571,0.117647059,0.0,0.096774194,1.0,0.857142857,1.0,0.022727273,0.9375,0.0,0.785714286,0.882352941,0.022727273,0.840725806,1.0,0.333333333,0.423076923,0.225,0.382978723,1,49.515718017821655,0.365379418914996,0.1026688487902466,-1.7400473425464138,0.04092535266045394
40,f,255,1,1,2.4,1.0,0.0,1.0,0.111111111,0.45,0.785714286,0.166666667,1.0,0.037735849,0.583333333,-0.214285714,0.166666667,0.0,-0.073375262,0.133333333,0.942307692,0.086956522,1.0,0.108433735,0.522727273,2,61.39670618512581,3.0273338090275512,0.07247407448968711,1.1572533541259298,0.8764155674547042
30,m,333,2,4,2.8,1.0,0.235294118,0.117647059,0.05,0.176470588,1.0,0.733333333,0.647058824,0.0,0.6875,0.0,0.498039216,0.529411765,-0.05,0.511029412,1.0,0.46875,0.382352941,0.19047619,0.424242424,1,86.75078879722668,0.6529129213862169,0.07197783003108969,-1.6400294882812605,0.05049951791421203
29,f,350,5,8,2.8,0.987012987,0.95,0.052631579,0.0,0.512820513,0.933333333,0.944444444,0.8,0.016666667,0.878787879,-0.053679654,-0.005555556,0.747368421,0.016666667,0.365967366,0.97826087,0.947368421,0.382352941,0.178217822,0.680555556,2,98.99515469575869,0.2357501040013459,0.07379404935173631,-1.97482504933763,0.024144002666819375
42,m,301,0,4,2.8,1.0,0.428571429,0.882352941,0.25,0.677419355,0.933333333,0.785714286,0.933333333,0.017241379,0.862068966,-0.066666667,0.357142857,0.050980392,-0.232758621,0.184649611,0.986486486,0.607142857,0.90625,0.244680851,0.766666667,1,91.43512853589338,1.2473037004376752,0.06316710222048691,0.5259739856582133,0.7005468590517806
36,male,321,2,12,2.7,0.985507246,0.071428571,0.0,0.0,0.03125,1.0,0.4,0.785714286,0.016129032,0.586206897,0.014492754,0.328571429,0.785714286,0.016129032,0.554956897,0.988095238,0.24137931,0.34375,0.158415842,0.295081967,2,68.04291492022497,1.2891227331009718,0.08482323227589389,-1.9491205557192581,0.025640514703563433
42,m,327,4,2,2.8,0.985074627,0.375,0.071428571,0.0,0.233333333,0.933333333,0.882352941,0.909090909,0.036363636,0.892857143,-0.051741294,0.507352941,0.837662338,0.036363636,0.65952381,0.975609756,0.636363636,0.44,0.135416667,0.551724138,2,67.34877892079749,0.5749443834680256,0.09290439520365901,-1.9308467169896408,0.026751005550482543
28,m,344,2,2,2.8,0.963855422,0.043478261,0.047619048,0.0,0.045454545,1.0,0.692307692,0.846153846,0.0,0.769230769,0.036144578,0.648829431,0.798534799,0.0,0.723776224,0.969072165,0.277777778,0.352941176,0.031578947,0.314285714,1,59.9429271911721,1.7446656748699623,0.08701050998497066,-1.966304398333561,0.024631729533040825
38,m,322,1,1,2.8,1.0,0.611111111,0.157894737,0.0,0.378378378,1.0,1.0,1.0,0.054545455,1.0,0.0,0.388888889,0.842105263,0.054545455,0.621621622,1.0,0.75862069,0.567567568,0.139784946,0.651515152,2,67.40647203805163,0.2514976332857061,0.09302810237503652,-2.0527623411041898,0.020047816275191144
35,Male,343,2,5,2.8,0.985915493,1.0,0.055555556,0.055555556,0.5,1.0,0.684210526,0.470588235,0.027777778,0.583333333,0.014084507,-0.315789474,0.41503268,-0.027777778,0.083333333,0.989010989,0.828571429,0.257142857,0.160714286,0.542857143,2,103.83727458908078,0.5514097860223641,0.06644108152703666,-2.058042874554397,0.01979300894873709
34,m,387,2,3,2.7,1.0,0.454545455,0.05,0.052631579,0.261904762,1.0,0.75,0.105263158,0.0,0.435897436,0.0,0.295454545,0.055263158,-0.052631579,0.173992674,1.0,0.595238095,0.076923077,0.172131148,0.345679012,1,128.92848738428094,0.8664194714097432,0.05109089522415694,-1.5408426735141343,0.06167754036242018
21,f,332,1,1,2.8,1.0,0.35,0.066666667,0.0,0.228571429,0.923076923,1.0,0.75,0.1,0.892857143,-0.076923077,0.65,0.683333333,0.1,0.664285714,0.987951807,0.638888889,0.37037037,0.206185567,0.523809524,2,84.2792847783956,0.27362099014413427,0.07467225616470875,-1.7881045823802655,0.036879568227717485
31,m,313,6,13,2.6,0.982142857,0.333333333,0.153846154,0.416666667,0.258064516,1.0,0.0625,0.8,0.076923077,0.419354839,0.017857143,-0.270833333,0.646153846,-0.33974359,0.161290323,0.986111111,0.205882353,0.5,0.267326733,0.338709677,1,108.47531793707077,0.6820588111867409,0.0515775292823963,-1.8961903246917498,0.02896744105146598
26,m,307,4,4,2.8,1.0,0.333333333,0.25,0.071428571,0.290322581,1.0,0.909090909,0.928571429,0.018518519,0.92,0.0,0.575757576,0.678571429,-0.052910053,0.629677419,1.0,0.576923077,0.566666667,0.247311828,0.571428571,1,62.506663821920775,-0.08202657927161706,0.09665282307634561,-1.6615827376822871,0.04829823345342332
37,m,367,4,4,2.8,1.0,0.157894737,0.0625,0.045454545,0.114285714,1.0,0.941176471,0.055555556,0.0,0.485714286,0.0,0.783281734,-0.006944444,-0.045454545,0.371428571,1.0,0.527777778,0.058823529,0.154545455,0.3,1,111.8295964501513,0.9536068813574561,0.052741626060863286,-1.596860926636262,0.055148355620662115
38,f,268,8,10,2.6,1.0,1.0,1.0,0.0,1.0,0.8125,0.916666667,1.0,0.058823529,0.956521739,-0.1875,-0.083333333,0.0,0.058823529,-0.043478261,0.953125,0.961538462,1.0,0.235294118,0.98,2,90.69780730335557,1.1645704994398758,0.060561148945730954,0.785042904686177,0.7837857932486837
27,m,286,1,2,2.8,1.0,0.642857143,0.8,0.5,0.724137931,0.928571429,0.916666667,1.0,0.016949153,0.962962963,-0.071428571,0.273809524,0.2,-0.483050847,0.238825032,0.985074627,0.769230769,0.9,0.302083333,0.839285714,1,103.35766384972864,1.2459351194197827,0.05727449263758745,0.9187146983929602,0.8208775901402837
51,m,337,0,7,2.8,0.985507246,0.117647059,0.157894737,0.058823529,0.138888889,0.9375,0.875,0.846153846,0.066666667,0.862068966,-0.048007246,0.757352941,0.688259109,0.007843137,0.723180077,0.976470588,0.484848485,0.4375,0.076190476,0.461538462,2,79.65843730037788,1.0090819881342277,0.07582718674615516,-2.2893089198825805,0.011030704903886801
34,m,338,1,3,2.8,1.0,0.8125,0.214285714,0.0,0.533333333,1.0,0.875,1.0,0.028985507,0.9375,0.0,0.0625,0.785714286,0.028985507,0.404166667,1.0,0.84375,0.633333333,0.036036036,0.741935484,2,58.14514220255313,0.3752491508301399,0.1118132766663404,-2.450983076378742,0.0071233325702493855
29,m,284,4,10,2.6,0.945454545,0.133333333,0.454545455,0.333333333,0.269230769,0.7,0.666666667,0.857142857,0.20754717,0.769230769,-0.245454545,0.533333333,0.402597403,-0.125786164,0.5,0.907692308,0.37037037,0.68,0.390804598,0.519230769,1,117.51729479418836,0.9262827366621904,0.038194168634925925,0.5187836040489938,0.6980441735824654
40,m,230,2,3,2.4,1.0,1.0,0.4,0.0,0.647058824,1.0,1.0,1.0,0.070175439,1.0,0.0,0.0,0.6,0.070175439,0.352941176,1.0,1.0,0.727272727,0.19047619,0.857142857,2,51.93605892967123,-0.4000886885381812,0.09576406742917154,-1.7516685823529439,0.03991540609854932
33,f,367,4,5,2.8,0.972222222,0.333333333,0.058823529,0.090909091,0.2,1.0,0.692307692,0.0,0.013888889,0.310344828,0.027777778,0.358974359,-0.058823529,-0.077020202,0.110344828,0.977777778,0.483870968,0.03030303,0.146551724,0.25,1,118.59538404066602,1.0235470631189758,0.048234326307623594,-1.7999506133461725,0.035934218370373416
46,m,323,2,2,2.8,1.0,0.1,0.0625,0.0,0.083333333,1.0,1.0,1.0,0.019607843,1.0,0.0,0.9,0.9375,0.019607843,0.916666667,1.0,0.470588235,0.482758621,0.215053763,0.476190476,2,51.265950614911944,0.2130381719194012,0.12657491509727523,-1.8800437010588384,0.03005106113753675
27,m,360,3,3,2.8,1.0,1.0,0.428571429,0.058823529,0.724137931,1.0,1.0,0.5,0.0,0.787878788,0.0,0.0,0.071428571,-0.058823529,0.063740857,1.0,1.0,0.464285714,0.008130081,0.758064516,1,61.62494657828902,0.043679988226312555,0.08570445446480528,-3.126301142023688,0.0008851008971319518
41,m,214,2,2,2.5,1.0,0.909090909,1.0,0.272727273,0.947368421,0.9,1.0,1.0,0.529411765,1.0,-0.1,0.090909091,0.0,0.256684492,0.052631579,0.98245614,0.944444444,1.0,0.515151515,0.972222222,2,64.97478142743724,0.47625222486669216,0.06478314422257166,0.8807575323453473,0.8107754650465404
