rank,block,order_condition,acceptance_rates,sem
HRLD,rich,all,0.953724108682232,0.000321804389474599
LRLD,rich,all,0.381246279101697,0.000915361627574669
HRHD,rich,all,0.496506889800835,0.00146294828800265
LRHD,rich,all,0.110865107005349,0.000958138063483307
intermediate,rich,all,0.438921794731562,0.00103475369327699
HRLD,poor,all,0.966846744373614,0.000324305504033844
LRLD,poor,all,0.516540522018102,0.00102469777257946
HRHD,poor,all,0.892434056703509,0.000610084363912891
LRHD,poor,all,0.194726888675418,0.000905935290488732
intermediate,poor,all,0.704731340664879,0.000715609655096954
HRLD,rich,richpoor,0.953244640110781,0.000472603034979132
LRLD,rich,richpoor,0.376358472342758,0.00131645827851006
HRHD,rich,richpoor,0.489860892101396,0.00205749726894382
LRHD,rich,richpoor,0.107599180965692,0.00137960979588185
intermediate,rich,richpoor,0.433223943679126,0.00145751932465799
HRLD,poor,richpoor,0.966588879494995,0.000473981903109616
LRLD,poor,richpoor,0.518066670125333,0.00155485253798479
HRHD,poor,richpoor,0.896230700124178,0.000840694442907293
LRHD,poor,richpoor,0.20270787706193,0.00129046870562137
intermediate,poor,richpoor,0.707397310783441,0.00106129842364077
HRLD,rich,poorrich,0.954256936411896,0.000464104050570317
LRLD,rich,poorrich,0.385950729923641,0.00134025922247163
HRHD,rich,poorrich,0.503454997068827,0.00219713968430004
LRHD,rich,poorrich,0.114185241075446,0.00141810754929801
intermediate,rich,poorrich,0.444695867500918,0.00154748342485319
HRLD,poor,poorrich,0.967193443256699,0.000477476612511977
LRLD,poor,poorrich,0.514540061962088,0.00144527616432074
HRHD,poor,poorrich,0.888902718035351,0.000879436883859416
LRHD,poor,poorrich,0.186861433241747,0.00138153953120934
intermediate,poor,poorrich,0.701892888230689,0.00102333643765292
