sub,liks
2,32.57246523151601
3,66.57230684262412
4,44.356885007170575
5,70.02224816515084
6,50.48983865634453
8,74.46439816071735
9,64.06461820789004
10,56.34902956779323
11,58.80129981980556
12,54.24764960510308
13,62.73651414661056
14,34.92219460727567
15,68.10573029724216
16,42.46911185024826
17,79.97921170581009
18,60.97554517104936
20,58.30962750056505
21,44.803975351512165
22,52.72741884920097
23,40.10887509500525
25,75.93027665766817
28,81.46638667057934
29,86.70238172880826
31,40.3810684001628
33,31.527470204236373
34,70.17926947970089
35,79.60291305511672
36,109.20917054305436
37,72.99774891784354
39,61.78088007223125
41,74.76784489856304
42,76.77849067568872
43,58.11104910982752
44,69.29029174073348
45,75.8348284085363
47,51.95968432946138
53,66.3099139304942
55,66.75796046969212
