sub,liks
2,32.469416420781975
3,69.10878872546506
4,19.864683889286535
5,60.15894072172115
6,54.94982648951104
8,38.10838044670053
9,64.67362476101194
10,49.55565320910296
11,52.627802622852194
12,38.264741116987956
13,63.589017873998046
14,22.13235762948627
15,47.91775548822795
16,39.16531727735526
17,35.44313801775439
18,59.66675864641903
20,68.61638190091124
21,54.694382726202484
22,59.019450831557094
23,34.421391001825114
25,70.69425707613698
28,83.86242419353998
29,54.536221080216094
31,48.085031092329004
33,31.275515067684296
34,62.07182660202163
35,81.1926979110804
36,74.56103167029127
37,61.72170565889393
39,43.05537231446508
41,77.43311778511925
42,65.65182811270938
43,41.009401932909505
44,37.53710784114302
45,78.29083353776271
47,42.48279227530692
53,44.88413157587925
55,44.41957139869477
