age,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,order_condition,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4
23,0.989361702,0,0.15,0.037037037,0.075,0.947368421,0.592592593,0.761904762,0.134020619,0.666666667,-0.041993281,0.592592593,0.611904762,0.096983582,0.591666667,2,0.36,0.59,0.57
32,0.980769231,0.96,0,0.083333333,0.470588235,1,1,0,0,0.464285714,0.019230769,0.04,0,-0.083333333,-0.006302521,1,0.44,0.56,0.41
37,0.989130435,0.9,0.818181818,0.041666667,0.857142857,0.904761905,0.523809524,1,0.021978022,0.761904762,-0.08436853,-0.376190476,0.181818182,-0.019688645,-0.095238095,2,0.56,0.54,0.64
31,1,0.833333333,0.045454545,0.136363636,0.456521739,1,0.875,1,0.043956044,0.948717949,0,0.041666667,0.954545455,-0.092407592,0.49219621,2,0.55,0.53,0.64
39,1,0.04,0.461538462,0,0.254901961,1,0.454545455,0.842105263,0.075949367,0.634146341,0,0.414545455,0.380566802,0.075949367,0.379244381,2,0.41,0.55,0.52
23,0.99047619,0.428571429,0.28,0.086956522,0.347826087,1,0.333333333,0.296296296,0,0.31372549,0.00952381,-0.095238095,0.016296296,-0.086956522,-0.034100597,1,0.37,0.48,0.48
34,1,1,0,0,0.511627907,1,0.869565217,0.954545455,0.010638298,0.911111111,0,-0.130434783,0.954545455,0.010638298,0.399483204,2,0.56,0.58,0.65
55,0.990291262,0.96,0,0,0.452830189,0.9,0.909090909,0.888888889,0.012195122,0.9,-0.090291262,-0.050909091,0.888888889,0.012195122,0.447169811,2,0.48,0.51,0.63
34,1,0.217391304,0.954545455,0.055555556,0.577777778,1,0.9375,1,0.016393443,0.970588235,0,0.720108696,0.045454545,-0.039162113,0.392810458,1,0.63,0.5,0.71
21,1,0.344827586,0.259259259,0.035714286,0.303571429,1,0.956521739,0.777777778,0.02173913,0.86,0,0.611694153,0.518518519,-0.013975155,0.556428571,2,0.52,0.51,0.59
34,1,1,0.75,0.666666667,0.885714286,1,0.941176471,0.777777778,0.079545455,0.857142857,0,-0.058823529,0.027777778,-0.587121212,-0.028571429,1,0.62,0.6,0.73
35,1,1,0.269230769,0,0.612244898,1,1,1,0.035714286,1,0,0,0.730769231,0.035714286,0.387755102,2,0.61,0.59,0.67
42,0.93877551,0.318181818,0.08,0.086956522,0.191489362,0.892857143,0.76,0.103448276,0.045045045,0.407407407,-0.045918367,0.441818182,0.023448276,-0.041911477,0.215918046,1,0.36,0.49,0.52
24,1,0.956521739,0.083333333,0.047619048,0.510638298,1,0.95,0.952380952,0.010869565,0.951219512,0,-0.006521739,0.869047619,-0.036749482,0.440581214,2,0.61,0.54,0.6
22,0.972477064,0.172413793,0.037037037,0.032258065,0.107142857,1,0.275862069,0,0.008264463,0.131147541,0.027522936,0.103448276,-0.037037037,-0.023993602,0.024004684,1,0.3,0.4,0.44
35,1,0.178571429,0.090909091,0.035714286,0.14,0.958333333,0.875,0.076923077,0.028571429,0.46,-0.041666667,0.696428571,-0.013986014,-0.007142857,0.32,1,0.37,0.5,0.4
33,1,0.8,0,0.074074074,0.4,1,1,1,0.052631579,1,0,0.2,1,-0.021442495,0.6,2,0.56,0.52,0.7
27,0.990990991,0.115384615,0.033333333,0,0.071428571,1,1,0.631578947,0.019230769,0.833333333,0.009009009,0.884615385,0.598245614,0.019230769,0.761904762,2,0.31,0.53,0.51
35,1,0.833333333,0.043478261,0.045454545,0.446808511,1,1,0.714285714,0.01,0.846153846,0,0.166666667,0.670807453,-0.035454545,0.399345336,1,0.48,0.53,0.59
25,1,0.090909091,1,0.090909091,0.473684211,0.95,0.105263158,1,0.012820513,0.514285714,-0.05,0.014354067,0,-0.078088578,0.040601504,1,0.44,0.55,0.5
31,1,0.555555556,0.052631579,0,0.297297297,1,1,0,0,0.555555556,0,0.444444444,-0.052631579,0,0.258258258,1,0.42,0.5,0.53
42,1,0.095238095,0.269230769,0.153846154,0.191489362,1,0.583333333,0.458333333,0.022727273,0.520833333,0,0.488095238,0.189102564,-0.131118881,0.329343972,1,0.36,0.51,0.57
46,0.99,0.961538462,0,0.041666667,0.454545455,0.952380952,0.576923077,0.5,0.081632653,0.538461538,-0.037619048,-0.384615385,0.5,0.039965986,0.083916084,2,0.48,0.54,0.53
39,0.972972973,0.055555556,0.909090909,0.095238095,0.525,0.96,0.863636364,0.95,0,0.904761905,-0.012972973,0.808080808,0.040909091,-0.095238095,0.379761905,1,0.44,0.64,0.62
40,0.988636364,0.727272727,0.173913043,0,0.444444444,1,0.842105263,0.764705882,0.051948052,0.805555556,0.011363636,0.114832536,0.590792839,0.051948052,0.361111111,2,0.49,0.57,0.62
38,0.990654206,0.269230769,0.285714286,0.037037037,0.277777778,0.84,0.068965517,0.172413793,0.008196721,0.120689655,-0.150654206,-0.200265252,-0.113300493,-0.028840316,-0.157088123,1,0.31,0.42,0.47
28,1,1,1,0.352941176,1,1,1,1,0.011363636,1,0,0,0,-0.34157754,0,1,0.66,0.64,0.68
48,1,0.863636364,0.090909091,0.130434783,0.477272727,1,0.9,0.956521739,0.048780488,0.930232558,0,0.036363636,0.865612648,-0.081654295,0.452959831,2,0.55,0.53,0.66
29,1,1,0.166666667,0.153846154,0.62962963,0.954545455,1,0.111111111,0.021052632,0.538461538,-0.045454545,0,-0.055555556,-0.132793522,-0.091168091,1,0.47,0.48,0.65
23,0.978947368,0.666666667,0.260869565,0.038461538,0.454545455,0.954545455,0.913043478,0.461538462,0.010869565,0.673469388,-0.024401914,0.246376812,0.200668896,-0.027591973,0.218923933,1,0.53,0.48,0.57
28,0.989583333,0,0.037037037,0.05,0.018518519,0.962962963,0.5,0.357142857,0.009009009,0.431034483,-0.02662037,0.5,0.32010582,-0.040990991,0.412515964,2,0.31,0.47,0.45
32,1,0.965517241,0,0,0.444444444,1,1,0.307692308,0.01010101,0.653846154,0,0.034482759,0.307692308,0.01010101,0.209401709,2,0.39,0.51,0.59
39,0.989361702,0.36,0.086956522,0.25,0.229166667,0.96,0.391304348,0.590909091,0.011235955,0.488888889,-0.029361702,0.031304348,0.503952569,-0.238764045,0.259722222,1,0.36,0.51,0.56
39,1,1,0.529411765,0.095238095,0.789473684,0.818181818,1,0.956521739,0.033707865,0.977777778,-0.181818182,0,0.427109974,-0.06153023,0.188304094,2,0.57,0.54,0.71
33,1,0.615384615,0.071428571,0,0.333333333,1,1,0.6,0.03030303,0.791666667,0,0.384615385,0.528571429,0.03030303,0.458333333,2,0.46,0.56,0.65
36,0.990566038,0.407407407,0.05,0.037037037,0.255319149,0.954545455,1,0.277777778,0.042105263,0.69047619,-0.036020583,0.592592593,0.227777778,0.005068226,0.435157042,1,0.4,0.57,0.55
22,1,0.565217391,0.08,0.192307692,0.3125,0.916666667,0.592592593,0.230769231,0.038461538,0.41509434,-0.083333333,0.027375201,0.150769231,-0.153846154,0.10259434,2,0.4,0.43,0.59
21,1,1,0.705882353,0.15,0.848484848,0.941176471,1,0.85,0.0875,0.921052632,-0.058823529,0,0.144117647,-0.0625,0.072567783,2,0.57,0.64,0.66
28,1,0.285714286,0.142857143,0.090909091,0.224489796,0.807692308,0.863636364,0.888888889,0.078651685,0.875,-0.192307692,0.577922078,0.746031746,-0.012257406,0.650510204,2,0.53,0.57,0.53
26,1,1,0.894736842,0.043478261,0.947368421,1,1,1,0.029411765,1,0,0,0.105263158,-0.014066496,0.052631579,1,0.6,0.55,0.74
