age,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,order_condition,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4
38,1,0.769230769,0.909090909,0.625,0.833333333,0.888888889,1,1,0.735294118,1,-0.111111111,0.230769231,0.090909091,0.110294118,0.166666667,1,0.878406709,0.904166667,0.882352941
28,1,0.25,0.8,0.066666667,0.555555556,1,0.909090909,0.923076923,0.068965517,0.916666667,0,0.659090909,0.123076923,0.002298851,0.361111111,2,0.5,0.504025765,0.624137931
47,1,0.153846154,0.166666667,0.125,0.16,0.95,0,0.055555556,0,0.029411765,-0.05,-0.153846154,-0.111111111,-0.125,-0.130588235,1,0.3125,0.496363636,0.452464789
63,0.975,1,1,0.909090909,1,1,0.875,0.909090909,0.896551724,0.894736842,0.025,-0.125,-0.090909091,-0.012539185,-0.105263158,2,0.9125,0.972222222,0.948275862
33,0.853658537,0.75,0.5,0.5,0.625,0.466666667,0.416666667,0.333333333,0.276595745,0.375,-0.38699187,-0.333333333,-0.166666667,-0.223404255,-0.25,2,0.569105691,0.5,0.399068323
39,1,0.666666667,0.1875,0.105263158,0.419354839,1,0.733333333,1,0.037735849,0.870967742,0,0.066666667,0.8125,-0.067527309,0.451612903,2,0.534926471,0.537634409,0.702085402
35,0.981818182,0.0625,0.0625,0,0.0625,0.9375,0.117647059,0.4,0.014705882,0.25,-0.044318182,0.055147059,0.3375,0.014705882,0.1875,2,0.277777778,0.390625,0.425
18,1,0.111111111,0.095238095,0,0.102564103,1,0.875,0.941176471,0.035714286,0.909090909,0,0.763888889,0.845938375,0.035714286,0.806526807,2,0.431818182,0.495888158,0.558928571
30,1,1,0.5,0.058823529,0.727272727,1,1,1,0.013513514,1,0,0,0.5,-0.045310016,0.272727273,2,0.549197861,0.523949169,0.641494436
30,0.982758621,0.210526316,0.5,0.153846154,0.322580645,1,0.714285714,0.238095238,0,0.476190476,0.017241379,0.503759398,-0.261904762,-0.153846154,0.153609831,1,0.41954023,0.447619048,0.546777547
24,0.971830986,1,0.043478261,0,0.488372093,0.647058824,0.909090909,1,0.054545455,0.961538462,-0.324772162,-0.090909091,0.956521739,0.054545455,0.473166369,2,0.490756303,0.567978533,0.585185185
