rank,block,order_condition,acceptance_rates,sem
HRLD,rich,all,0.959623217344997,0.00029666665004277
LRLD,rich,all,0.544476043252732,0.00111969663048964
HRHD,rich,all,0.268856663518312,0.0014000411474034
LRHD,rich,all,0.0607440307874962,0.00077888220082742
intermediate,rich,all,0.406792988176881,0.00101949397370166
HRLD,poor,all,0.977622451154285,0.000271360629930181
LRLD,poor,all,0.737186593787091,0.00104499347553094
HRHD,poor,all,0.790391218673537,0.00101616233028057
LRHD,poor,all,0.175499106633695,0.000962797419747253
intermediate,poor,all,0.76373780488502,0.000829226085448548
HRLD,rich,richpoor,0.959071309340676,0.000430842439155786
LRLD,rich,richpoor,0.540581128297023,0.0015994449529898
HRHD,rich,richpoor,0.256205379022406,0.00197058317354227
LRHD,rich,richpoor,0.0533223737121962,0.00108670229344616
intermediate,rich,richpoor,0.398395555478829,0.00141010483955679
HRLD,poor,richpoor,0.977493256878142,0.000394709048411722
LRLD,poor,richpoor,0.739122980287267,0.00155227724959637
HRHD,poor,richpoor,0.789605233907274,0.00143835851819325
LRHD,poor,richpoor,0.187660794354962,0.00138447938092463
intermediate,poor,richpoor,0.764330761512611,0.00117643790794815
HRLD,rich,poorrich,0.960052743679422,0.000419138786442559
LRLD,rich,poorrich,0.548348215280177,0.00159520995460896
HRHD,rich,poorrich,0.281169519114691,0.00201883247309468
LRHD,rich,poorrich,0.068484915883765,0.00115575282068153
intermediate,rich,poorrich,0.414990766495503,0.0014941691354159
HRLD,poor,poorrich,0.977627771745051,0.000390020049444365
LRLD,poor,poorrich,0.73533875929224,0.00146859195508458
HRHD,poor,poorrich,0.790925358782737,0.0014509903952208
LRHD,poor,poorrich,0.163388533240394,0.00135246919163018
intermediate,poor,poorrich,0.763047315033646,0.00115762041339382
