sub,liks
1,48.25829284893822
2,60.81720542908682
3,82.02582105855964
4,74.06778071808077
5,86.43630670264196
6,60.24586513440552
9,59.125730179427826
11,59.67519130474285
12,56.663483177000664
13,70.42171553262976
14,104.46174686769983
17,68.47540598810035
18,108.66667886942008
19,59.334679438102675
20,94.21222498894113
21,71.37342408084146
22,89.72085444444895
24,70.75909732222514
28,43.30141804273909
29,117.62098932002569
31,46.02205735452787
32,100.47726994318947
34,41.45136727886753
37,40.63808887763977
42,54.99630974193511
43,34.10838898178523
44,64.82383977518617
45,65.13640190839953
46,60.03313533645025
47,100.98637066114932
48,49.69845287102309
49,118.60498571981853
50,59.93217205665056
51,64.10500960430113
52,53.95476764555226
57,29.043811893823637
58,87.9510916754299
59,99.29932072088064
