sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
1,-0.618697478,0.093789707,-1.64741421,0.049736468,-1.800772486,0.035869374
2,2.848013826,0.083425736,-2.123827397,0.01684229,-1.549810376,0.060593518
3,-0.61603761,0.063462596,-1.417469303,0.078172881,-1.717725265,0.042923369
4,-2.941361118,0.048847934,-1.463026762,0.071730028,-2.154132331,0.015614898
5,0.503172094,0.080198258,-1.893392867,0.029152822,-1.695589372,0.044981836
6,-0.591555301,0.080028691,-1.685555713,0.045940703,-2.031509621,0.021101662
9,-1.368431207,0.07800747,-1.84981749,0.03216993,-2.188010371,0.014334423
11,0.613256345,0.080557383,-1.908880045,0.028138784,-2.102996435,0.017733041
12,-1.985776528,0.082013528,-2.161916822,0.015312294,-2.446259894,0.007217345
13,-2.959891093,0.050563854,-1.561958219,0.059148916,-2.262747396,0.011825633
14,-2.189264676,0.03302654,-0.918901234,0.179073617,-1.959295717,0.025039083
17,-2.217271224,0.057852032,-1.772187357,0.038181731,-2.252782299,0.012136439
18,0.27090149,0.047222688,-1.845269996,0.032499136,-1.960411706,0.024973844
19,-1.244339994,0.087782895,-1.515173073,0.06486429,-1.707459336,0.043868355
20,-1.70369444,0.038291639,-1.205274019,0.114048768,-2.004266033,0.022520785
21,-0.645881955,0.081200926,-2.761282219,0.002878745,-2.753126817,0.002951451
22,-0.296427358,0.068825417,-1.855973361,0.031728678,-1.770475404,0.038323989
24,-0.924840035,0.062392733,-2.289390003,0.011028351,-2.626032117,0.004319333
28,-2.2184416,0.101468062,-2.425071707,0.007652682,-2.709323656,0.003371027
29,0.135005804,0.034141227,-1.836566765,0.033136939,-1.809504377,0.03518634
31,-2.384625536,0.082456466,-1.847964951,0.032303707,-2.119915359,0.017006592
32,-2.249066102,0.025784438,-1.050394327,0.146768426,-2.21396822,0.013415483
34,-1.963289142,0.120311189,-1.720702037,0.042652453,-2.00362716,0.022555007
37,-2.97699119,0.073430116,-2.682402702,0.003654771,-3.039492967,0.001184884
42,-1.834972785,0.063238309,-2.10768167,0.017529267,-2.217082938,0.013308712
43,-3.357008411,0.166723403,-2.245150671,0.012379231,-2.346876279,0.00946577
44,0.325348423,0.080256525,-1.659716485,0.048485751,-1.79742645,0.036133972
45,-2.156423568,0.028428772,-2.610293094,0.004523234,-2.744206226,0.003032871
46,-0.443297271,0.085116734,-2.686107151,0.003614495,-2.817992239,0.002416249
47,1.763502704,0.055042433,-1.698164036,0.044738403,-1.700285587,0.04453861
48,-2.478394033,0.020741325,-2.989356628,0.001397828,-3.322071627,0.000446759
49,0.234595235,0.017774448,-3.164897789,0.000775687,-3.253436571,0.000570091
50,-1.285823341,0.084313322,-2.027051219,0.021328587,-2.213644024,0.013426638
51,0.238140522,0.068302562,-1.890436001,0.029349836,-2.303351365,0.010629541
52,-1.127936893,0.103711164,-1.777337843,0.037756335,-1.983107294,0.023677723
57,-4.053719645,0.168991923,-2.292243969,0.010945785,-2.462686849,0.006895015
58,-0.402728128,0.047611299,-2.862096037,0.002104247,-3.233636243,0.000611125
59,-1.02809148,0.043353348,-2.006311578,0.022411508,-2.384017939,0.008562384
