sub,intercept,beta,learning_rate_raw,perseverance
1,0.5058135370051628,0.10440378697942126,-1.6342714649127073,0.6612283030988565
2,2.8051593952779643,0.07649089376795735,0.7198478722657606,0.7612135193376004
3,0.6667291298532653,0.07421646867168516,-1.6062791553801627,0.5009900287520056
4,0.26804816605051135,0.07615763349923685,-1.8930465192040609,0.6834253609602063
5,0.9726485645461086,0.06803292049053501,0.21147498583493596,0.8721899916061482
6,1.3170296573285876,0.08507585017728135,-1.9337930162917027,0.14929503434186378
9,0.6525800976392265,0.09411697512776897,-1.8351440002661736,0.3986622121453238
11,1.7953651475651606,0.09118241559372474,-1.7907815142943324,0.5794405995750733
12,0.26858757021736973,0.09720110018623225,-2.0557093597595855,0.582231971134544
13,0.5821271330818266,0.06593882333939557,-2.0005787237083243,0.3482447810067181
14,0.842561785058074,0.051546950296585396,-1.5057536311032456,0.26373216176010644
17,0.297465153745341,0.07450690180571143,-1.7509581335618034,0.22372231336438964
18,0.6947053686655713,0.05216682115323332,-1.8137222227118406,0.5369168932031453
19,-0.0061414301831167325,0.09635420069305717,-1.629047600323828,0.2932096217702627
20,0.950829208935072,0.05552348710023252,-1.4869336739263157,0.5937249992274941
21,1.0601299731035205,0.06516339777744529,0.40519592681555605,1.0215773363847656
22,0.8069436666014128,0.05901944916708005,0.3499352625611974,1.1102387147757677
24,1.008952780813755,0.07519456072309294,-2.278474173020361,0.07405172698080398
28,0.41056313900112057,0.11292242095100477,-2.370590405407811,0.36545340688373323
29,0.6426819049744491,0.03739518144656081,0.12965035728315397,0.5431865095453828
31,-0.38339359826431657,0.09372755959918237,-1.7040451367919425,0.26389877528974504
32,1.12507098350315,0.05377722111129469,-1.7134753084718448,0.8332671912709679
34,0.2552970534197327,0.13049973350701538,-1.8680581519268875,0.05809839744703039
37,0.025245244632993637,0.08321263221309567,-3.1033484535527127,0.23190367160016723
42,0.3775191864334694,0.06705207864419188,0.5580537885743752,0.955086330481301
43,1.0428908469082765,0.0834757829228712,0.2712555248360858,1.2880529248385768
44,1.1185833777910803,0.09264797870299345,-1.598853268367379,0.7690409979109951
45,-0.1479955383319545,0.05083934944038806,0.8906163709107784,0.4406839847466444
46,2.231861451362588,0.07563430780408524,0.44925378900124574,0.9458237912641424
47,1.6924749509051356,0.05561787472519979,-1.365563801798875,0.4744840729831194
48,-0.4598469045470002,0.045872810543406674,0.8758771933566096,0.7800524706152037
49,0.963114597165075,0.02267260272839838,0.8207814006964937,1.1766745529687754
50,0.025964963244278997,0.09705644254543383,-2.03444793431731,-0.1260163490170797
51,2.3186931013058723,0.07795663028322254,-1.8738311341561582,0.9219593020231642
52,0.407989989216636,0.12256275536284883,-1.7804914579050097,0.41759746630514927
57,-0.5957119231695179,0.153166996130029,-2.243393194467489,0.3866130158014521
58,1.4213514262397897,0.05851521175129681,-2.0932877555621205,0.3023736374491066
59,0.46552393573972023,0.053586051474558145,-1.9243322257336366,0.302860719220108
