sub,block,reward_rate
1,0,7.653649806297569
1,0,6.001698238754286
1,0,8.574750183732913
1,0,6.000747104072275
1,0,7.619847638743721
1,0,9.90933667664896
1,0,11.797617910561996
1,0,10.98477324038267
1,0,12.68459603010796
1,0,12.06969426633468
1,0,13.579396564054719
1,0,9.946829931251031
1,0,11.828540884156222
1,0,10.661914938280471
1,0,12.418315098869954
1,0,13.86692542526726
1,0,12.911507432486566
1,0,12.021916832075476
1,0,13.539991600317169
1,0,14.792040441385401
1,0,15.824681476738354
1,0,14.734375951235913
1,0,13.719191441008794
1,0,14.939837478495393
1,0,13.910496864160999
1,0,12.95207684061907
1,0,14.30715128511578
1,0,13.32140214866136
1,0,14.611756389940165
1,0,13.605020251038054
1,0,14.845673535403304
1,0,13.822820727323167
1,0,12.827479995245218
1,0,11.943678805461616
1,0,13.475463928427326
1,0,14.738820535161619
1,0,15.780787774462786
1,0,16.64016170102448
1,0,11.984568302257438
1,0,13.509187990078367
1,0,14.766634825465124
1,0,13.749227709438937
1,0,12.80191897750468
1,0,14.183306938037006
1,0,13.2060905594849
1,0,12.296203461380749
1,0,13.766212510858976
1,0,12.817733542236857
1,0,11.934603873809607
1,0,13.46797927885975
1,0,12.540048296698853
1,0,11.67605087797948
1,0,10.871582060896372
1,0,10.122540381329397
1,0,11.973460008027182
1,0,11.148499984324687
1,0,12.819631460702665
1,0,11.936371027495518
1,0,13.469436758274282
1,0,12.541405357165852
1,0,11.677314438269063
1,0,13.255776990588563
1,0,12.342466544567143
1,0,11.492082320931939
1,0,13.103004767050995
1,0,12.200220182147927
1,0,13.6870492469411
1,0,14.913327850857971
1,0,13.885813724692364
1,0,15.077261037299273
1,0,13.662637558594298
1,0,12.721294805821062
1,0,14.11681126678922
1,0,15.267778797637897
1,0,16.217051912015105
1,0,15.099712436145014
1,0,14.059356589057211
1,0,15.220392421042211
1,0,14.1717218376013
1,0,15.313066894104507
1,0,16.254403767062982
1,0,15.134490783852074
1,0,16.107121158484354
1,0,14.997355807134458
1,0,13.964052234580334
1,0,15.141789107774752
1,0,16.113140531311235
1,0,15.002960450889992
1,0,13.969270723703682
1,0,15.146093114004021
1,0,14.102541682258126
1,0,15.256009801045343
1,0,11.063053807786519
1,0,10.030571063214627
1,0,11.897607302634544
1,0,13.437465950377986
1,0,12.570925774228037
1,0,13.992792756188019
1,0,15.165493168683605
1,0,14.120605091593962
1,0,15.270907796320545
1,0,16.219632588050477
1,0,17.00210378171506
1,0,12.225535260811888
1,0,11.383207491581144
1,0,10.598915305715943
1,0,12.36635545986515
1,0,13.824071142224511
1,0,15.026338164170324
1,0,13.991037734740141
1,0,15.164045695465662
1,0,14.11925734790611
1,0,13.14645392528797
1,0,12.24067573464479
1,0,13.720415408264723
1,0,14.940846958934927
1,0,15.947411286718054
1,0,14.848649793860984
1,0,15.871370662042956
1,0,14.777848296012406
1,0,15.812976348942103
1,0,14.723477295628802
1,0,13.709043692422874
1,0,14.93146801137674
1,0,13.902704045378579
1,0,15.091191514824397
1,0,16.071409610713886
1,0,16.879855252936128
1,0,17.546629677086145
1,0,18.0965592078812
1,0,18.55011962934755
1,0,17.272034003400556
1,0,16.082007263320154
1,0,14.973972235497126
1,0,13.94227976882211
1,0,15.123832027471412
1,0,14.0818143634469
1,0,15.238914717167422
1,0,16.193245944576873
1,0,15.077546677255432
1,0,16.060155881041155
1,0,14.953626392705521
1,0,15.957951265101673
1,0,16.786279236059293
1,0,15.629720538141374
1,0,16.5155673384038
1,0,15.377660433147044
1,0,14.318154233025018
1,0,13.331647003908834
1,0,9.781887911031527
