sub,liks
1,99.77241308110399
3,30.896560635134144
4,93.85577803888549
6,71.02025019041409
8,75.60260609603259
9,91.71511582715777
10,38.41132811900213
12,60.42619385556995
13,51.67530095519243
14,81.0097266435197
15,63.93382602854514
16,46.462516081957645
17,124.8826141705045
18,61.54701598118825
19,77.82604402858554
21,87.69840849380236
23,52.59623101684209
25,44.93615340037028
27,52.28271022430037
29,40.478223005039126
30,27.14767149420689
31,103.46670339353135
32,103.65678497870785
33,77.34775913831102
34,74.35413838929117
35,94.47650626666695
36,31.815823602697456
37,74.62037177438602
39,67.45698377894516
40,91.3198054300659
41,83.67170991230607
43,66.41744555869474
49,107.00639650980295
50,97.23145932890377
52,62.65021490157149
54,66.8125315449011
56,148.93407035462093
60,89.00821112924888
61,109.04173948184645
62,44.77557673882778
