sub,liks
1,103.3433091257481
3,119.5922834113496
4,97.30591158435986
6,84.84751544780495
8,81.99178731974422
9,88.08147496411048
10,66.00629903045088
12,90.69483460803359
13,67.1676508405352
14,91.31868113085511
15,118.11930968050822
16,62.691536502971026
17,138.5279822997809
18,63.366447868910804
19,114.48884140500473
21,103.76920986925118
23,76.74108861189907
25,82.5817308863669
27,88.04591908983572
29,49.969101346861414
30,78.83398894149397
31,97.2327135840676
32,143.93700582093717
33,87.31697360244276
34,80.30974255983679
35,143.66394532084277
36,85.00904969527082
37,80.93416818431777
39,125.27220317980589
40,102.31638325092439
41,104.28839185488195
43,114.1761550476588
49,111.38466673206842
50,99.38267793635228
52,105.34041582029394
54,102.20695754339283
56,128.26379839447443
60,112.03320400377606
61,110.73560807805814
62,80.29255499643645
