sub,liks
2,30.214057457921687
3,49.240552855091636
4,15.425420747178501
5,61.05713233303091
6,51.781916174383085
8,41.84439221406264
9,64.01454024444129
10,54.022498838202296
11,51.68156972129242
12,31.616149411579393
13,62.29077016348722
14,15.974583016061123
15,49.08373645232666
16,40.5605551255225
17,39.387335570041515
18,58.65029623227794
20,32.16663795274932
21,45.6872564489495
22,52.5836376598836
23,23.0609927519696
25,69.98113214804428
28,81.83302981770123
29,41.946526589588686
31,38.496631330322494
33,23.423144916882155
34,57.612368951071005
35,84.82846095151749
36,70.72353917788526
37,66.22156971587395
39,42.16853393071707
41,76.52530846651749
42,37.79601094377676
43,37.04831405409473
44,22.664967183269184
45,50.41178457810248
47,30.424072507570628
53,45.482443442316494
55,37.25337752171355
