sub,block,reward_rate
1,1,7.731251294297968
1,1,7.271562843745012
1,1,8.983255338089123
1,1,9.155910335609432
1,1,6.73893692744569
1,1,5.4734219464219
1,1,5.359694261129261
1,1,4.4959010901125565
1,1,3.8836985670703266
1,1,3.652779753445939
1,1,3.8088219738050695
1,1,3.582355208604742
1,1,5.8406884429587285
1,1,5.493409985914337
1,1,4.590670424752576
1,1,4.31771613905885
1,1,3.757412228785388
1,1,3.534002208881757
1,1,3.70764404717474
1,1,5.416887324943133
1,1,7.403392542870234
1,1,6.963198075335939
1,1,6.549176901751105
1,1,6.276051442462454
1,1,5.902886963213926
1,1,6.972738073691162
1,1,6.558149666304807
1,1,6.168212055452411
1,1,5.801459542240971
1,1,5.639125562083938
1,1,4.6939445028198765
1,1,4.414849697419586
1,1,6.549829776183949
1,1,6.160386853352009
1,1,5.794099614763248
1,1,5.449591258628919
1,1,7.4312506385660555
1,1,6.989399771005646
1,1,6.651045195110383
1,1,7.502985791050076
1,1,7.056869660359508
1,1,6.637278916708821
1,1,6.242636400902881
1,1,5.871458729235036
1,1,5.6987527637730695
1,1,5.359913586472587
1,1,5.041221271623047
1,1,3.710441773838538
1,1,5.4188701784546325
1,1,5.096672394259128
1,1,4.309487656994482
1,1,4.053252071277336
1,1,3.8122518640120213
1,1,6.036520635135315
1,1,5.6775982936066045
1,1,5.340016928947687
1,1,5.246056257248566
1,1,4.934133726132959
1,1,6.9921699638873
1,1,6.576426165846114
1,1,6.299263102995187
1,1,5.9247184936928186
1,1,5.572443737556412
1,1,5.241114702966619
1,1,4.929485989157515
1,1,4.6363862449997235
1,1,4.360713766121582
1,1,4.1014323538187885
1,1,3.857567420186991
1,1,3.628202324837268
1,1,3.412474929424942
1,1,3.2095743570408692
1,1,5.06388670953896
1,1,4.762795702834715
1,1,4.479607109734512
1,1,4.2132564799369
1,1,3.1010427840277384
1,1,2.895110322888636
1,1,2.722971463621432
1,1,2.5610677192773266
1,1,2.8788721209111694
1,1,4.829505667725429
1,1,6.903044952456283
1,1,6.492600392125874
1,1,6.106560241482074
1,1,5.025232940476955
1,1,4.25885584452168
1,1,3.7156957368846113
1,1,3.4947661161808505
1,1,3.1741567722151838
1,1,5.038784942683331
1,1,7.08131470205106
1,1,5.716077878976081
1,1,5.566395150851009
1,1,5.235425756032943
1,1,4.924135298361388
1,1,4.631353698145351
1,1,6.071554897988499
1,1,5.710549472442183
1,1,5.3710088807750855
1,1,5.051656856591029
1,1,5.000423344469728
1,1,7.048637254611651
1,1,6.629535997293576
1,1,7.487741418191046
1,1,6.0041276915947766
1,1,5.647131385252114
1,1,5.3113615366546325
1,1,6.553501882975517
1,1,6.163840622255308
1,1,5.797348027817243
1,1,7.727479265005829
1,1,7.268015093581146
1,1,6.835869963409537
1,1,6.429419525822698
1,1,6.047136013455153
1,1,7.940255430540671
1,1,7.461009776458359
1,1,7.017389475792394
1,1,6.600146163906675
1,1,6.207711505141027
1,1,5.838610414689774
1,1,4.835326877874149
1,1,6.216118318322024
1,1,8.084199130558863
1,1,7.603524938138164
1,1,7.151430902579993
1,1,6.72621769119879
1,1,6.326287011047509
1,1,5.950135601248355
1,1,5.596349582530384
1,1,5.263599142735027
1,1,4.950633538313363
1,1,4.656276393026777
1,1,6.75548356861058
1,1,5.485149169800035
1,1,6.676671677615045
1,1,6.279686928122128
1,1,5.906306288422169
1,1,5.555126294024832
1,1,5.224826928305127
1,1,4.914166660820181
1,1,4.621977780640139
1,1,4.634411080277355
1,1,6.736858103526017
1,1,6.336294760631055
1,1,5.959548305253317
1,1,5.605202621462404
1,1,5.271925793428657
1,1,4.958465099013156
1,1,7.012896085723886
1,1,6.671059991807587
1,1,6.274408904623089
1,1,5.901342088177852
1,1,5.550457257581519
1,1,5.220435505671857
1,1,7.236049567145699
1,1,6.805805058588739
1,1,6.401142234544262
1,1,6.020540046935001
1,1,5.662567886890386
1,1,6.80241495723577
1,1,6.39795370346483
1,1,6.017541101067024
1,1,5.823189681150284
1,1,5.476951673885122
1,1,5.151300452254472
1,1,4.348204604587715
1,1,6.49305968266538
1,1,6.106992223304217
1,1,5.743879748258922
1,1,5.402357389053366
1,1,5.081141430216426
1,1,4.7790244840476594
1,1,4.494870952284081
1,1,6.617994046486503
1,1,8.426527750736431
1,1,7.925499218895227
1,1,7.454261082000152
1,1,7.01104204844874
1,1,6.594176144944865
1,1,6.202096454432332
1,1,7.184799029471223
1,1,6.757601799984205
1,1,6.355805068428
1,1,7.293738072356585
1,1,6.860063492965597
