sub,liks
1,109.91852269120447
3,31.185070924996772
4,79.52083153976905
6,70.88241948864604
8,85.10587733442448
9,85.03918283105972
10,33.34087854937704
12,60.093357494913164
13,50.92897625649155
14,74.83265970260005
15,60.80234127450471
16,28.964560705120018
17,126.71858740202055
18,37.71817140927304
19,76.37835079656496
21,87.28768349834019
23,52.60749429966002
25,47.33431188959986
27,57.02639509983563
29,53.666192141586656
30,30.572411839296244
31,99.71828570196347
32,101.80993947883294
33,75.60816323222785
34,66.19944662631032
35,93.0274059658774
36,26.54162417700126
37,64.86060918614695
39,63.72712350294415
40,87.08124704094372
41,77.77004893370477
43,55.07568930776478
49,109.17054871858079
50,85.84916934857104
52,56.13081423404815
54,70.92436022650338
56,126.01608272688628
60,69.67637978787555
61,103.79230322998102
62,31.28683987433972
