age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
32,Male,318,3,5,2.8,1,0,0.0833333333333333,0,0.037037037037037,1,0.0588235294117647,0.8,0.0166666666666667,0.40625,0,0.0588235294117647,0.716666666666667,0.0166666666666667,0.369212962962963,1,0.03125,0.481481481481481,0.0126582278481013,0.23728813559322,2,32.6482190186998,2.24438216175735,0.0957590572002295,-2.3391279339808,0.00966440668751023,0.424547283702213,0.51099537037037,0.434433541480821,0.563380281690141,0.740740740740741,0.631578947368421,0.285714285714286,0.28125,0.23728813559322,1,1,1,0.05,0,0,0,0,0,NaN,1,1,0.666666666666667,0.6,0.285714285714286,0,0,0,10.0179878253512,5.12865113964362,7.70428385800743,7.43488198783393,4.64859346425908,6.11637045435655
20,p,308,4,11,2.6,1,0.533333333333333,0.214285714285714,0.142857142857143,0.379310344827586,1,1,0.0625,0.0133333333333333,0.516129032258065,0,0.466666666666667,-0.151785714285714,-0.12952380952381,0.136818687430478,1,0.766666666666667,0.133333333333333,0.0337078651685393,0.45,1,71.0792518161236,0.738819361352497,0.0661299501710586,-3.19501531351205,0.000699117106598979,0.421774193548387,0.508342602892102,0.532818532818533,0.693548387096774,0.758620689655172,0.714285714285714,0.15,0.258064516129032,0.351351351351351,1,1,1,0.444444444444444,0.2,0.333333333333333,0.1,0,0,NaN,1,1,0.666666666666667,0.6,0.478260869565217,0.0588235294117647,0,0,7.98557469823571,7.52271010341713,7.73419134070493,9.56158312284807,8.65780530882363,9.07073827557617
27,f,276,0,0,2.7,1,1,0,0,0.5,1,1,0.933333333333333,0.037037037037037,0.961538461538462,0,0,0.933333333333333,0.037037037037037,0.461538461538462,1,1,0.466666666666667,0.0294117647058824,0.714285714285714,2,47.4209234764793,0.186153962030584,0.0901080983642015,-2.0535361347007,0.0200103044651692,0.57258064516129,0.586870026525199,0.654986522911051,0.645161290322581,0.827586206896552,0.857142857142857,0.5,0.346153846153846,0.452830188679245,1,1,1,0.434782608695652,0.75,0.666666666666667,0,0,0,1,1,1,0.833333333333333,1,1,0.142857142857143,0,0,9.6858167949471,5.24926311919871,7.60063656734535,7.42793048764029,5.21276765776249,6.38680395759772
29,f,266,1,2,2.7,1,1,0.5,0.181818181818182,0.777777777777778,0.866666666666667,1,1,0.157894736842105,1,-0.133333333333333,0,0.5,-0.0239234449760766,0.222222222222222,0.96969696969697,1,0.76,0.161764705882353,0.896551724137931,2,99.1424603181939,0.829705669694033,0.0488061516696934,0.555536590488003,0.710736155201415,0.646666666666667,0.702508960573477,0.75,0.76,0.888888888888889,1,0.533333333333333,0.516129032258065,0.5,1,1,1,0.777777777777778,0.714285714285714,1,0.2,0,0,NaN,1,0.75,1,1,1,0.222222222222222,0.222222222222222,0.444444444444444,2.95023047368187,1.35888486399238,2.09653986015053,7.27218175400688,4.8709345710891,5.98401269233745
45,f,291,0,1,2.8,1,0.0588235294117647,0.1,0.1875,0.0810810810810811,1,1,1,0.0181818181818182,1,0,0.941176470588235,0.9,-0.169318181818182,0.918918918918919,1,0.466666666666667,0.485714285714286,0.0563380281690141,0.476923076923077,1,56.9899877263678,0.652532321910375,0.0796650396500256,-1.8972955974044,0.0288944678660095,0.340909090909091,0.683183183183183,0.6,0.5,0.810810810810811,0.8,0.181818181818182,0.555555555555556,0.4,1,1,1,0.0344827586206897,0.25,0,0.181818181818182,0.0909090909090909,0,1,1,1,1,1,1,0,0,0,10.2267853275103,5.46002374761263,8.19929397678458,11.554634780461,10.0343055384534,10.90797890377
42,m,332,0,1,2.8,1,1,0,0,0.457142857142857,1,1,0.111111111111111,0.0142857142857143,0.578947368421053,0,0,0.111111111111111,0.0142857142857143,0.121804511278196,1,1,0.0540540540540541,0.0112359550561798,0.520547945205479,2,81.5388536416535,0.614489131457768,0.065800662028677,-4.08540175385269,2.20003079454689e-05,0.431111111111111,0.543609022556391,0.590579710144927,0.64,0.771428571428571,0.833333333333333,0.222222222222222,0.315789473684211,0.347826086956522,1,1,1,0.391304347826087,0.333333333333333,0.666666666666667,0,0,0,NaN,1,1,0.5,0.714285714285714,0.565217391304348,0,0,0,7.74194351259684,7.74487155425822,7.74339030965305,7.1001294812759,4.57395842867086,5.85190378469459
31,f,278,7,5,2.8,0.970149253731343,0.230769230769231,0.529411764705882,0.0555555555555556,0.4,1,1,1,0.16,1,0.0298507462686567,0.769230769230769,0.470588235294118,0.104444444444444,0.6,0.975,0.615384615384615,0.714285714285714,0.132352941176471,0.666666666666667,2,64.4051461195736,-0.0549133496568292,0.0717889648244511,-2.06327670067838,0.0195431732107275,0.494755244755245,0.554166666666667,0.692176870748299,0.681818181818182,0.566666666666667,0.833333333333333,0.307692307692308,0.541666666666667,0.551020408163265,1,0.933333333333333,0.923076923076923,0.388888888888889,0.285714285714286,0.6,0,0.1,0,NaN,1,1,1,1,1,0.1,0.5,0.2,10.2056281401414,5.07170440772914,7.99448277024107,7.32285614509084,4.78619120728397,6.23033213722353
44,m,306,4,5,2.8,0.986486486486487,0.588235294117647,0.0588235294117647,0,0.323529411764706,1,0.769230769230769,0.9375,0.0526315789473684,0.862068965517241,0.0135135135135135,0.180995475113122,0.878676470588235,0.0526315789473684,0.538539553752535,0.989130434782609,0.666666666666667,0.484848484848485,0.04,0.571428571428571,2,53.7700335751241,0.459763267032094,0.0851752859540954,-2.02256742421227,0.0215588828008265,0.433409436834094,0.56237322515213,0.713293650793651,0.589041095890411,0.676470588235294,0.944444444444444,0.277777777777778,0.448275862068966,0.482142857142857,0.975609756097561,1,1,0.15,0.375,0.833333333333333,0,0,0,NaN,1,1,0.833333333333333,1,0.833333333333333,0,0.166666666666667,0.0833333333333333,10.2805437569317,5.59684259911048,8.16269627687343,7.77979372966693,5.71308555245884,6.84528220605979
31,m,278,1,4,2.6,1,0.176470588235294,0.333333333333333,0.142857142857143,0.25,1,0.75,0.333333333333333,0.0188679245283019,0.518518518518518,0,0.573529411764706,0,-0.123989218328841,0.268518518518518,1,0.413793103448276,0.333333333333333,0.0447761194029851,0.372881355932203,1,59.7484613706532,0.878703660330312,0.0715562305668859,-2.91945865149866,0.00175319953697994,0.421610169491525,0.500597371565114,0.549450549450549,0.593220338983051,0.741935483870968,0.714285714285714,0.25,0.259259259259259,0.384615384615385,1,1,1,0.25,0.375,0,0.1,0.1,0,1,1,1,0.5,0.2,0.611111111111111,0,0.1,0,8.66489477997205,7.76003336613535,8.23272216440825,10.7421402154961,9.79567962994805,10.2900993388164
45,f,264,3,16,2.6,0.984126984126984,0.294117647058824,0.0625,0,0.181818181818182,1,1,1,0.0961538461538462,1,0.0158730158730159,0.705882352941176,0.9375,0.0961538461538462,0.818181818181818,0.986111111111111,0.586206896551724,0.482758620689655,0.0714285714285714,0.53448275862069,2,54.8534780855411,0.748770827625596,0.0813231604801108,-2.1743752317414,0.0148384833186543,0.473118279569892,0.498181818181818,0.477124183006536,0.612903225806452,0.636363636363636,0.444444444444444,0.333333333333333,0.36,0.509803921568627,1,0.952380952380952,1,0.222222222222222,0.25,0.0909090909090909,0,0,0,NaN,1,1,1,1,1,0.25,0.125,0.125,9.33254203992674,4.89475997727379,7.42429575298597,6.68841037845566,4.69195439939776,5.82993430746076
