age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed
48,m,313,8,14,2.8,1.0,1.0,0.157894736842105,0.0,0.529411764705882,1.0,0.705882352941177,0.769230769230769,0.0,0.733333333333333,0.0,-0.294117647058823,0.611336032388664,0.0,0.203921568627451,1.0,0.84375,0.40625,0.0,0.625,2,61.794749359015334,0.6349451359952156,0.08460847391010697,-2.0403615379428732,0.020657164883096213
34,m,303,3,6,2.8,1.0,0.176470588235294,0.0625,0.0555555555555556,0.121212121212121,1.0,1.0,0.888888888888889,0.0175438596491228,0.931034482758621,0.0,0.823529411764706,0.826388888888889,-0.0380116959064327,0.809822361546499,1.0,0.5,0.5,0.0266666666666667,0.5,1,46.29051707897848,0.7836670416203178,0.08869196950269499,-2.354614546791435,0.009270963986531322
25,m,264,1,2,2.7,0.980392156862745,1.0,0.846153846153846,0.153846153846154,0.92,1.0,1.0,1.0,0.0307692307692308,1.0,0.0196078431372549,0.0,0.153846153846154,-0.123076923076923,0.08,0.985294117647059,1.0,0.923076923076923,0.0512820512820513,0.962264150943396,2,75.52889786537008,1.6345555109715326,0.07342603849174503,0.5421613135494171,0.7061463082924884
42,f,355,6,5,2.7,0.958333333333333,0.0,0.115384615384615,0.0,0.0612244897959184,1.0,0.0476190476190476,0.666666666666667,0.027027027027027,0.333333333333333,0.0416666666666666,0.0476190476190476,0.551282051282051,0.027027027027027,0.272108843537415,0.965909090909091,0.0227272727272727,0.340909090909091,0.0206185567010309,0.181818181818182,2,60.54559269694438,2.436306208149374,0.08308743835657709,-2.24249461385086,0.01246471151431433
37,f,333,6,7,2.6,0.951612903225806,0.4,0.384615384615385,0.230769230769231,0.392857142857143,1.0,0.0,0.0,0.0,0.0,0.0483870967741935,-0.4,-0.384615384615385,-0.230769230769231,-0.392857142857143,0.96551724137931,0.171428571428571,0.142857142857143,0.0294117647058824,0.157142857142857,1,69.17431433815277,1.876636976618717,0.07052878601446869,-3.2618883889902763,0.000553363543802865
41,m,307,4,4,2.8,1.0,0.0,0.176470588235294,0.235294117647059,0.0909090909090909,1.0,0.0,0.714285714285714,0.0,0.333333333333333,0.0,0.0,0.53781512605042,-0.235294117647059,0.242424242424242,1.0,0.0,0.419354838709677,0.0571428571428571,0.206349206349206,1,53.36967459504872,1.4859854740636824,0.07865685313553662,-2.7596088163149486,0.0028935305335830996
23,m,323,1,4,2.7,1.0,0.230769230769231,0.25,0.142857142857143,0.241379310344828,0.9375,0.0588235294117647,0.45,0.0,0.27027027027027,-0.0625,-0.171945701357466,0.2,-0.142857142857143,0.0288909599254427,0.987951807228916,0.133333333333333,0.361111111111111,0.0202020202020202,0.257575757575758,1,54.69262629284753,1.6845085636797728,0.08187715855619752,-2.8635732605302078,0.0020944596670592897
31,m,327,2,2,2.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0273972602739726,1.0,0.0,1.0,1.0,0.0273972602739726,1.0,1.0,0.428571428571429,0.46875,0.021505376344086,0.447761194029851,2,42.252889551223916,1.0180271503957468,0.09719183114148038,-1.8423279680126354,0.032713595576980836
50,f,202,4,5,2.5,0.9375,1.0,1.0,0.818181818181818,1.0,1.0,0.777777777777778,0.777777777777778,0.51219512195122,0.777777777777778,0.0625,-0.222222222222222,-0.222222222222222,-0.305986696230599,-0.222222222222222,0.95,0.9,0.894736842105263,0.576923076923077,0.897435897435897,2,75.4103841487399,0.35669308231371005,0.04494491328457882,1.4133597043900712,0.9212250063271097
30,f,294,0,5,2.6,0.946428571428571,0.0833333333333333,0.3,0.1875,0.181818181818182,1.0,0.75,0.666666666666667,0.0923076923076923,0.705882352941177,0.0535714285714286,0.666666666666667,0.366666666666667,-0.0951923076923077,0.524064171122995,0.957142857142857,0.464285714285714,0.535714285714286,0.111111111111111,0.5,1,83.1143638694394,0.6075488494775717,0.05572340996487942,-2.550483040998086,0.005378687880498223
33,m,248,5,6,2.6,1.0,0.833333333333333,1.0,0.833333333333333,0.91304347826087,1.0,1.0,1.0,0.0952380952380952,1.0,0.0,0.166666666666667,0.0,-0.738095238095238,0.0869565217391305,1.0,0.923076923076923,1.0,0.213333333333333,0.959183673469388,1,75.93597055850161,1.8236234664621065,0.07795620981016974,1.3810789060902038,0.9163726497091267
37,f,272,2,3,2.7,1.0,0.533333333333333,0.818181818181818,0.333333333333333,0.653846153846154,1.0,0.9375,0.933333333333333,0.0,0.935483870967742,0.0,0.404166666666667,0.115151515151515,-0.333333333333333,0.281637717121588,1.0,0.741935483870968,0.884615384615385,0.0526315789473684,0.807017543859649,1,47.47184084165043,-0.5411267331928922,0.08002593999101919,-3.201804044881892,0.0006828493289869342
