sub,liks
1,103.28925144152718
3,109.86051461064312
4,109.83509946675429
6,81.80402970999356
8,80.25368909004861
9,87.43212232667646
10,60.720984695904924
12,88.7828562549335
13,72.35703410720592
14,90.21385506603275
15,131.07897941777972
16,55.99141576292557
17,128.70113224146144
18,59.09726721504689
19,90.88885824806452
21,126.60847781383325
23,74.87219462251414
25,75.68491474361215
27,85.2706327900587
29,61.540450709787834
30,69.58050389345644
31,89.24316452579379
32,143.15342569636908
33,68.88314736739628
34,82.10113115983002
35,99.72629753343132
36,99.00040228743447
37,81.59980719460022
39,117.08915457446277
40,102.3623054104111
41,108.52328299935033
43,114.39689105321303
49,99.46881363982958
50,83.05627134827597
52,103.50347150005729
54,100.45029179293076
56,129.9039825778632
60,122.381172977862
61,98.09604933043579
62,87.51498624107968
