age,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4
44,0.892857143,0.058823529,0.733333333,0.111111111,0.375,1,0.555555556,0.941176471,0.014285714,0.742857143,0.107142857,0.496732026,0.207843137,-0.096825397,0.367857143,0.916666667,0.314285714,0.84375,0.034090909,0.567164179,1,0.44,0.47,0.44
25,1,0.75,0.785714286,0.153846154,0.772727273,0.933333333,0.333333333,0.333333333,0.057971014,0.333333333,-0.066666667,-0.416666667,-0.452380952,-0.095875139,-0.439393939,0.985507246,0.461538462,0.551724138,0.073170732,0.509090909,1,0.48,0.55,0.63
34,1,0.058823529,0.05,0.058823529,0.054054054,0.894736842,0.611111111,0.476190476,0.014705882,0.538461538,-0.105263158,0.552287582,0.426190476,-0.044117647,0.484407484,0.979166667,0.342857143,0.268292683,0.023529412,0.302631579,1,0.34,0.54,0.6
26,1,0.944444444,0.368421053,0.052631579,0.648648649,1,0.933333333,0.818181818,0.098039216,0.884615385,0,-0.011111111,0.449760766,0.045407637,0.235966736,1,0.939393939,0.533333333,0.085714286,0.746031746,2,0.52,0.58,0.71
39,0.964912281,0.529411765,0.294117647,0.153846154,0.411764706,0.9375,0.117647059,0.470588235,0.016393443,0.294117647,-0.027412281,-0.411764706,0.176470588,-0.137452711,-0.117647059,0.95890411,0.323529412,0.382352941,0.040540541,0.352941176,1,0.4,0.47,0.49
24,1,0.833333333,0.266666667,0.25,0.575757576,1,1,0.05,0,0.512820513,0,0.166666667,-0.216666667,-0.25,-0.062937063,1,0.918918919,0.142857143,0.048780488,0.541666667,1,0.43,0.5,0.61
35,1,0.2,0.052631579,0.0625,0.117647059,1,0.75,0.666666667,0.031746032,0.714285714,0,0.55,0.614035088,-0.030753968,0.596638655,1,0.514285714,0.323529412,0.037974684,0.420289855,2,0.43,0.57,0.5
42,1,1,0.785714286,0,0.888888889,0.916666667,1,1,0.195652174,1,-0.083333333,0,0.214285714,0.195652174,0.111111111,0.984615385,1,0.884615385,0.152542373,0.942307692,2,0.59,0.61,0.83
28,0.983606557,1,0.230769231,0.384615385,0.6,1,0.928571429,0.352941176,0.024096386,0.612903226,0.016393443,-0.071428571,0.122171946,-0.360518999,0.012903226,0.986666667,0.961538462,0.3,0.072916667,0.607142857,1,0.43,0.56,0.52
23,0.983333333,1,0.111111111,0.125,0.555555556,1,1,0.846153846,0,0.923076923,0.016666667,0,0.735042735,-0.125,0.367521368,0.987012987,1,0.419354839,0.024390244,0.709677419,1,0.5,0.55,0.63
50,0.985294118,0.125,0,0.058823529,0.066666667,1,0.894736842,0.307692308,0.027777778,0.65625,0.014705882,0.769736842,0.307692308,-0.031045752,0.589583333,0.987951807,0.542857143,0.148148148,0.033707865,0.370967742,2,0.35,0.48,0.48
21,1,0.923076923,1,0.181818182,0.962962963,0.9,0.866666667,1,0.071428571,0.933333333,-0.1,-0.056410256,0,-0.11038961,-0.02962963,0.980769231,0.892857143,1,0.089552239,0.947368421,2,0.57,0.64,0.69
