sub,intercept,beta,learning_rate_raw
1,0.38375754761470593,0.10236769461765043,-1.736772630430632
2,3.159178799144731,0.07658914659338886,1.1511219920944777
3,0.650664684525832,0.07130871990783194,-1.640394786904217
4,0.2352211363817656,0.07231362236851649,-1.974474225401955
5,1.2557489633354775,0.06422116216584421,0.5246287312244349
6,1.3086546171890248,0.0849957754260929,-1.9493181981041852
9,0.5881843112163911,0.09207910909436698,-1.9257802758411018
11,1.7894028402231985,0.08805184630415777,-1.9624523817412338
12,0.26262024100082015,0.09146210101443143,-2.048361409815459
13,0.5485510530462611,0.06542615723991019,-2.0613975294287017
14,0.8569588171801102,0.05063087329598177,-1.5463104045967517
17,0.2731900046238211,0.07338583163984293,-1.7865754633174533
18,0.6704976632584558,0.050776562306086015,-1.903322724157577
19,-0.07228919231879337,0.09530984142378403,-1.6583553352728069
20,0.9442123869012865,0.052282499170913654,-1.6042086257952168
21,1.1722866092209392,0.061772184205699895,0.7820658613792966
22,1.247484752133374,0.058164339528941005,0.911171770145548
24,1.0159280059420288,0.07503540530825535,-2.2926663248563623
28,0.40599970053748496,0.1104791126619855,-2.446415602101364
29,0.8713112568445407,0.03760438569880131,0.48421118779748573
31,-0.3852047351692132,0.09344165915287658,-1.7417781816755573
32,1.0130317713441648,0.04777042227571076,-1.8084232603789583
34,0.2406544497311957,0.12823842970197558,-1.8727330403931866
37,0.062005742494578346,0.08288221839787883,-3.130399911356934
42,0.4740409622787607,0.06651355827087914,0.8783472632470902
43,1.4449232784509842,0.07631809325241719,0.7434690224368086
44,1.034232311717767,0.0857844223232143,-1.7009422388631756
45,-0.17281670506220712,0.051937939656177996,1.1468281730891643
46,2.671411419070442,0.07128897887857825,0.9281664548633972
47,1.7934989335931917,0.05592620750937899,-1.654769462882385
48,-0.6545769116597524,0.04744126334252585,1.2604092831811742
49,1.032080745591945,0.021747076317750316,1.5319542080300064
50,0.03756769353093549,0.09661424133535798,-2.0226159482849684
51,2.3395700568977107,0.07205085280028403,-2.073921262162591
52,0.34292793715214503,0.11860617349125534,-1.821544203846882
57,-0.6296879466928226,0.1501679774629977,-2.2686127440362953
58,1.0244759166432182,0.06054935356951406,-3.740546479543133
59,0.4506005442209933,0.053225237517587544,-2.119507697577236
