sub,liks
1,102.62637213353118
3,120.5711355943403
4,105.86276752849615
6,83.74833314876537
8,81.60423029694743
9,87.10245963090054
10,62.02143450069553
12,88.75011081468237
13,66.24010621805846
14,92.59649883209073
15,126.28500522069247
16,62.75018544519162
17,137.46077422303173
18,64.21704911801271
19,115.02670360835334
21,102.74013067749088
23,76.31636264296782
25,80.54478643580873
27,87.12353468435282
29,51.989712821345414
30,77.97839770249489
31,98.43463751434436
32,143.38842262322453
33,90.09445888494845
34,79.96725846768568
35,93.99799224820306
36,95.7397036682224
37,81.13146493432117
39,124.45656977595372
40,101.40380623060402
41,91.35747736184493
43,113.25748419580445
49,111.3365295027092
50,98.57775715275574
52,103.51575061595369
54,104.48673106001189
56,127.83857496756092
60,119.3049402352913
61,112.16849844609926
62,84.14976005225346
