sub,liks
1,106.43890942869405
3,145.00271882041682
4,95.10820845411683
6,83.97811513150747
8,81.94456865170062
9,113.22535667916368
10,62.66234933763035
12,89.94631939593104
13,60.437099057487636
14,91.24470665639677
15,137.85375029909568
16,58.30375341893478
17,154.70723125346743
18,60.143043433935546
19,113.5478194675014
21,127.1427472423219
23,78.52800314990473
25,82.23435145745036
27,86.44125043873709
29,59.18725177938593
30,99.95709892915588
31,108.28284458121453
32,143.9620949389748
33,85.84417273649079
34,80.15128645540514
35,128.43608798253047
36,61.0224706191676
37,77.6524003065888
39,166.4310391368981
40,119.92745622444669
41,104.53312215575552
43,134.2388662029824
49,116.33729593821245
50,98.14129142121939
52,104.19973530249088
54,107.24916410828368
56,156.3800168973286
60,84.65354085283981
61,108.85011728802505
62,50.5270593297433
